time,temperature_2m_mean,precipitation_sum
2023-01-01,10.4,0.0
2023-01-02,9.2,0.2
2023-01-03,9.4,0.0
2023-01-04,8.7,0.0
2023-01-05,8.2,0.0
2023-01-06,7.4,0.0
2023-01-07,6.9,0.0
2023-01-08,10.6,0.2
2023-01-09,7.7,1.0
2023-01-10,6.9,0.0
2023-01-11,8.5,0.0
2023-01-12,7.1,0.0
2023-01-13,8.5,0.0
2023-01-14,7.4,0.0
2023-01-15,6.6,18.8
2023-01-16,7.2,0.1
2023-01-17,6.4,6.6
2023-01-18,3.6,3.4
2023-01-19,2.8,2.5
2023-01-20,4.2,0.3
2023-01-21,2.2,0.0
2023-01-22,1.9,0.0
2023-01-23,0.8,0.0
2023-01-24,3.1,0.4
2023-01-25,6.3,0.3
2023-01-26,1.5,0.0
2023-01-27,1.6,0.0
2023-01-28,2.9,0.0
2023-01-29,2.6,0.0
2023-01-30,2.2,0.0
2023-01-31,4.0,0.0
2023-02-01,5.7,0.0
2023-02-02,4.8,0.0
2023-02-03,6.2,0.0
2023-02-04,9.2,0.0
2023-02-05,7.6,0.0
2023-02-06,6.3,6.1
2023-02-07,5.6,30.1
2023-02-08,5.4,5.2
2023-02-09,4.9,0.7
2023-02-10,4.7,0.0
2023-02-11,4.5,0.0
2023-02-12,5.5,0.0
2023-02-13,5.9,0.0
2023-02-14,5.7,0.0
2023-02-15,7.1,0.0
2023-02-16,7.6,0.0
2023-02-17,8.8,0.0
2023-02-18,9.9,0.0
2023-02-19,11.5,0.0
2023-02-20,9.5,0.0
2023-02-21,9.0,0.3
2023-02-22,10.0,1.8
2023-02-23,9.7,2.0
2023-02-24,9.6,2.0
2023-02-25,8.1,0.8
2023-02-26,7.0,6.5
2023-02-27,4.0,0.2
2023-02-28,6.8,0.3
2023-03-01,4.7,0.0
2023-03-02,4.8,0.2
2023-03-03,5.5,0.0
2023-03-04,6.4,0.0
2023-03-05,7.5,0.0
2023-03-06,7.3,0.0
2023-03-07,10.1,0.0
2023-03-08,13.2,0.0
2023-03-09,14.2,0.0
2023-03-10,12.8,0.0
2023-03-11,16.4,0.0
2023-03-12,14.8,0.0
2023-03-13,16.6,0.0
2023-03-14,12.0,0.2
2023-03-15,11.5,0.0
2023-03-16,11.5,0.0
2023-03-17,11.8,0.0
2023-03-18,11.8,5.5
2023-03-19,11.6,5.9
2023-03-20,12.0,0.0
2023-03-21,12.3,0.8
2023-03-22,13.6,1.3
2023-03-23,13.5,0.0
2023-03-24,15.1,0.0
2023-03-25,13.9,0.3
2023-03-26,12.4,5.5
2023-03-27,12.3,0.0
2023-03-28,12.0,0.0
2023-03-29,13.7,0.0
2023-03-30,13.7,0.0
2023-03-31,14.6,0.1
2023-04-01,12.0,17.1
2023-04-02,11.0,0.1
2023-04-03,12.4,0.0
2023-04-04,10.9,0.0
2023-04-05,10.6,0.0
2023-04-06,11.9,0.0
2023-04-07,14.3,0.0
2023-04-08,13.2,0.0
2023-04-09,13.1,0.0
2023-04-10,15.5,0.0
2023-04-11,16.7,0.0
2023-04-12,14.7,0.3
2023-04-13,10.5,6.2
2023-04-14,12.4,0.2
2023-04-15,13.2,1.9
2023-04-16,14.0,0.0
2023-04-17,13.7,0.1
2023-04-18,12.6,6.0
2023-04-19,14.0,0.0
2023-04-20,15.0,0.4
2023-04-21,15.6,0.0
2023-04-22,17.1,0.0
2023-04-23,15.8,7.2
2023-04-24,15.0,1.1
2023-04-25,16.3,0.0
2023-04-26,16.6,0.8
2023-04-27,18.9,0.0
2023-04-28,19.2,0.0
2023-04-29,19.3,4.2
2023-04-30,17.9,6.0
2023-05-01,15.8,0.2
2023-05-02,16.9,0.0
2023-05-03,16.6,0.0
2023-05-04,18.9,0.0
2023-05-05,18.5,0.0
2023-05-06,18.3,0.0
2023-05-07,17.3,10.5
2023-05-08,18.2,0.0
2023-05-09,17.8,7.8
2023-05-10,16.1,2.8
2023-05-11,14.3,15.4
2023-05-12,12.9,6.7
2023-05-13,13.4,1.0
2023-05-14,15.1,5.1
2023-05-15,16.2,0.0
2023-05-16,15.9,0.0
2023-05-17,15.5,0.0
2023-05-18,14.9,0.0
2023-05-19,15.6,1.4
2023-05-20,16.9,0.6
2023-05-21,15.7,1.7
2023-05-22,18.3,7.6
2023-05-23,19.1,6.6
2023-05-24,19.4,0.6
2023-05-25,16.0,16.4
2023-05-26,18.4,0.6
2023-05-27,20.9,0.0
2023-05-28,20.8,0.0
2023-05-29,19.8,0.1
2023-05-30,20.2,0.0
2023-05-31,18.0,15.3
2023-06-01,18.4,11.8
2023-06-02,19.5,1.1
2023-06-03,18.6,9.3
2023-06-04,18.8,0.6
2023-06-05,19.5,0.3
2023-06-06,19.7,9.0
2023-06-07,20.0,0.4
2023-06-08,20.7,0.1
2023-06-09,22.5,0.7
2023-06-10,22.1,4.1
2023-06-11,22.6,5.0
2023-06-12,21.7,4.3
2023-06-13,19.6,18.1
2023-06-14,20.7,6.9
2023-06-15,22.3,0.0
2023-06-16,23.1,0.0
2023-06-17,24.6,0.0
2023-06-18,24.0,1.4
2023-06-19,22.4,0.0
2023-06-20,23.8,0.1
2023-06-21,24.3,0.0
2023-06-22,23.9,1.6
2023-06-23,24.2,0.1
2023-06-24,24.8,0.0
2023-06-25,26.8,0.0
2023-06-26,27.7,0.0
2023-06-27,26.3,0.7
2023-06-28,26.0,0.8
2023-06-29,24.9,8.3
2023-06-30,21.5,15.6
2023-07-01,22.3,1.4
2023-07-02,23.5,0.6
2023-07-03,23.4,1.2
2023-07-04,23.1,1.5
2023-07-05,22.7,1.9
2023-07-06,23.3,1.9
2023-07-07,23.3,0.5
2023-07-08,25.5,0.0
2023-07-09,26.4,0.0
2023-07-10,28.4,0.0
2023-07-11,28.6,0.0
2023-07-12,27.3,0.1
2023-07-13,25.1,2.4
2023-07-14,27.2,0.0
2023-07-15,26.6,0.1
2023-07-16,25.6,0.0
2023-07-17,27.1,0.0
2023-07-18,31.1,0.0
2023-07-19,29.2,0.0
2023-07-20,26.9,0.0
2023-07-21,25.4,0.5
2023-07-22,24.2,0.3
2023-07-23,25.7,0.0
2023-07-24,25.7,3.0
2023-07-25,20.9,12.4
2023-07-26,21.0,1.1
2023-07-27,24.5,1.9
2023-07-28,24.5,1.3
2023-07-29,26.8,2.3
2023-07-30,24.8,4.9
2023-07-31,25.0,0.2
2023-08-01,25.0,1.3
2023-08-02,26.4,0.5
2023-08-03,21.8,4.7
2023-08-04,20.7,13.2
2023-08-05,20.9,0.0
2023-08-06,21.4,0.5
2023-08-07,21.7,0.0
2023-08-08,23.6,0.0
2023-08-09,26.1,0.0
2023-08-10,27.4,0.0
2023-08-11,27.7,0.0
2023-08-12,25.6,0.0
2023-08-13,26.5,0.0
2023-08-14,26.5,0.0
2023-08-15,26.2,0.0
2023-08-16,26.0,0.0
2023-08-17,25.4,0.0
2023-08-18,25.8,0.0
2023-08-19,26.9,0.0
2023-08-20,29.2,0.0
2023-08-21,30.0,0.0
2023-08-22,30.0,0.0
2023-08-23,31.4,0.0
2023-08-24,29.6,0.0
2023-08-25,27.2,0.0
2023-08-26,25.0,12.4
2023-08-27,18.1,40.2
2023-08-28,18.6,0.0
2023-08-29,18.4,0.0
2023-08-30,18.5,1.0
2023-08-31,19.7,1.8
2023-09-01,21.6,0.3
2023-09-02,20.4,3.8
2023-09-03,21.8,0.0
2023-09-04,23.0,0.0
2023-09-05,23.3,0.0
2023-09-06,22.0,0.0
2023-09-07,21.2,0.0
2023-09-08,21.0,0.0
2023-09-09,21.6,0.0
2023-09-10,22.3,0.0
2023-09-11,22.3,0.0
2023-09-12,21.9,5.4
2023-09-13,21.2,0.7
2023-09-14,21.1,0.1
2023-09-15,19.8,34.8
2023-09-16,21.7,5.1
2023-09-17,22.3,1.6
2023-09-18,23.6,0.0
2023-09-19,20.3,2.4
2023-09-20,19.7,15.1
2023-09-21,20.6,1.7
2023-09-22,16.5,22.5
2023-09-23,16.5,5.6
2023-09-24,17.5,0.0
2023-09-25,18.3,0.0
2023-09-26,19.2,0.0
2023-09-27,20.3,0.0
2023-09-28,20.6,0.0
2023-09-29,22.2,0.0
2023-09-30,23.0,0.0
2023-10-01,21.1,0.0
2023-10-02,20.4,0.0
2023-10-03,21.0,0.0
2023-10-04,21.0,1.0
2023-10-05,20.9,0.0
2023-10-06,20.9,0.0
2023-10-07,20.1,0.0
2023-10-08,19.2,0.0
2023-10-09,20.6,0.0
2023-10-10,20.8,0.0
2023-10-11,19.7,0.0
2023-10-12,19.8,0.0
2023-10-13,20.4,0.0
2023-10-14,20.1,0.0
2023-10-15,17.4,4.9
2023-10-16,16.2,4.9
2023-10-17,19.1,0.0
2023-10-18,21.6,0.1
2023-10-19,20.0,4.4
2023-10-20,17.8,5.9
2023-10-21,14.3,1.0
2023-10-22,14.4,0.0
2023-10-23,18.5,1.3
2023-10-24,15.8,6.8
2023-10-25,15.3,0.0
2023-10-26,18.0,0.0
2023-10-27,16.6,0.0
2023-10-28,15.3,0.0
2023-10-29,18.2,0.0
2023-10-30,15.5,3.3
2023-10-31,13.7,0.0
2023-11-01,15.4,0.0
2023-11-02,15.3,9.0
2023-11-03,10.0,0.0
2023-11-04,13.2,0.7
2023-11-05,14.9,0.0
2023-11-06,11.1,5.5
2023-11-07,10.4,1.3
2023-11-08,10.1,0.0
2023-11-09,10.2,6.3
2023-11-10,11.6,0.0
2023-11-11,11.6,0.0
2023-11-12,14.5,0.0
2023-11-13,15.2,0.0
2023-11-14,16.5,0.0
2023-11-15,14.0,0.5
2023-11-16,14.7,0.0
2023-11-17,13.4,2.7
2023-11-18,13.1,0.0
2023-11-19,13.4,0.0
2023-11-20,13.7,0.0
2023-11-21,12.2,15.1
2023-11-22,11.5,0.0
2023-11-23,8.3,0.0
