time,temperature_2m_mean,precipitation_sum
2023-01-01,11.0,0.9
2023-01-02,6.4,4.2
2023-01-03,2.3,0.0
2023-01-04,0.8,0.0
2023-01-05,0.6,0.0
2023-01-06,-0.0,0.0
2023-01-07,5.4,11.0
2023-01-08,9.5,4.7
2023-01-09,6.3,0.0
2023-01-10,4.8,0.3
2023-01-11,8.1,2.8
2023-01-12,3.3,0.0
2023-01-13,4.3,0.0
2023-01-14,4.8,0.0
2023-01-15,5.7,1.3
2023-01-16,7.0,2.4
2023-01-17,5.1,0.9
2023-01-18,1.6,0.1
2023-01-19,2.4,0.0
2023-01-20,7.3,0.6
2023-01-21,3.4,2.0
2023-01-22,0.1,0.0
2023-01-23,0.5,0.0
2023-01-24,1.6,0.3
2023-01-25,0.4,0.0
2023-01-26,1.8,0.3
2023-01-27,2.0,0.3
2023-01-28,2.5,0.1
2023-01-29,1.7,0.0
2023-01-30,0.2,0.0
2023-01-31,1.1,0.0
2023-02-01,4.8,0.0
2023-02-02,2.7,0.0
2023-02-03,2.3,0.0
2023-02-04,3.4,0.0
2023-02-05,4.0,0.0
2023-02-06,3.4,0.0
2023-02-07,2.0,0.0
2023-02-08,3.7,0.0
2023-02-09,2.7,0.0
2023-02-10,1.7,0.0
2023-02-11,1.2,0.0
2023-02-12,2.3,0.0
2023-02-13,3.6,0.0
2023-02-14,3.9,0.0
2023-02-15,4.9,0.0
2023-02-16,5.8,0.0
2023-02-17,6.6,0.0
2023-02-18,6.0,0.0
2023-02-19,10.1,0.1
2023-02-20,10.2,0.0
2023-02-21,8.3,3.1
2023-02-22,7.0,0.3
2023-02-23,2.6,12.0
2023-02-24,0.5,0.0
2023-02-25,1.3,0.0
2023-02-26,2.3,0.4
2023-02-27,0.1,0.1
2023-02-28,0.1,0.0
2023-03-01,0.5,0.1
2023-03-02,0.8,0.0
2023-03-03,1.8,0.0
2023-03-04,3.8,0.0
2023-03-05,2.7,4.4
2023-03-06,6.5,2.6
2023-03-07,9.0,1.0
2023-03-08,11.7,1.7
2023-03-09,11.1,5.1
2023-03-10,11.5,0.0
2023-03-11,12.6,0.0
2023-03-12,12.4,0.0
2023-03-13,10.6,0.0
2023-03-14,8.2,0.0
2023-03-15,9.8,0.0
2023-03-16,12.1,0.0
2023-03-17,11.0,1.5
2023-03-18,9.1,0.1
2023-03-19,9.2,0.0
2023-03-20,10.7,0.0
2023-03-21,10.9,0.0
