time,temperature_2m_mean,precipitation_sum
2023-01-01,9.2,20.1
2023-01-02,4.4,0.9
2023-01-03,1.0,0.0
2023-01-04,0.7,0.0
2023-01-05,0.7,0.0
2023-01-06,-0.6,0.0
2023-01-07,4.8,7.5
2023-01-08,7.2,7.0
2023-01-09,4.4,0.0
2023-01-10,3.8,0.0
2023-01-11,7.0,2.3
2023-01-12,2.3,0.0
2023-01-13,5.6,0.0
2023-01-14,5.6,0.0
2023-01-15,4.7,3.1
2023-01-16,6.6,34.9
2023-01-17,3.1,6.1
2023-01-18,0.7,1.2
2023-01-19,2.7,6.3
2023-01-20,6.6,0.6
2023-01-21,4.8,0.5
2023-01-22,0.3,0.0
2023-01-23,0.1,0.0
2023-01-24,1.6,0.0
2023-01-25,1.0,0.0
2023-01-26,2.3,1.4
2023-01-27,2.7,0.3
2023-01-28,2.2,0.1
2023-01-29,0.8,0.0
2023-01-30,-1.1,0.0
2023-01-31,-0.6,0.0
2023-02-01,0.2,0.0
2023-02-02,1.4,0.0
2023-02-03,2.4,0.0
2023-02-04,3.7,0.0
2023-02-05,2.0,0.0
2023-02-06,1.4,0.0
2023-02-07,1.4,1.6
2023-02-08,2.7,0.2
2023-02-09,0.8,0.0
2023-02-10,0.9,0.0
2023-02-11,0.9,0.0
2023-02-12,1.4,0.0
2023-02-13,3.2,0.0
2023-02-14,3.7,0.0
2023-02-15,5.2,0.0
2023-02-16,5.3,0.0
2023-02-17,6.1,0.0
2023-02-18,6.0,0.0
2023-02-19,8.3,0.0
2023-02-20,9.0,0.0
2023-02-21,7.8,3.9
2023-02-22,7.0,1.2
2023-02-23,2.7,3.2
2023-02-24,0.7,0.0
2023-02-25,2.7,0.0
2023-02-26,2.6,0.0
2023-02-27,-0.6,0.0
2023-02-28,-0.2,0.0
2023-03-01,0.3,1.4
2023-03-02,0.7,0.0
2023-03-03,1.1,0.0
2023-03-04,2.2,0.0
2023-03-05,1.8,0.2
2023-03-06,4.7,0.2
2023-03-07,8.3,1.1
2023-03-08,9.7,4.2
2023-03-09,9.2,3.0
2023-03-10,10.2,0.0
2023-03-11,10.9,0.8
2023-03-12,11.8,0.3
2023-03-13,8.6,1.0
2023-03-14,7.0,0.1
2023-03-15,7.5,0.0
2023-03-16,9.6,0.0
2023-03-17,8.2,2.5
2023-03-18,7.2,0.3
2023-03-19,8.8,0.0
2023-03-20,8.7,0.0
2023-03-21,10.6,0.6
2023-03-22,9.5,0.0
2023-03-23,9.9,0.4
2023-03-24,10.4,0.4
2023-03-25,8.2,0.0
2023-03-26,8.7,0.6
2023-03-27,7.5,0.0
2023-03-28,12.0,0.0
2023-03-29,14.4,0.0
2023-03-30,12.0,0.0
2023-03-31,10.9,0.5
2023-04-01,8.3,0.9
2023-04-02,7.5,0.0
2023-04-03,7.0,0.0
