time,temperature_2m_mean,precipitation_sum
2023-01-01,14.3,0.0
2023-01-02,13.8,0.0
2023-01-03,12.0,0.0
2023-01-04,9.5,0.0
2023-01-05,8.4,0.0
2023-01-06,9.7,0.0
2023-01-07,11.4,0.0
2023-01-08,12.2,0.0
2023-01-09,14.0,0.0
2023-01-10,12.4,0.0
2023-01-11,14.5,0.0
2023-01-12,10.4,0.0
2023-01-13,11.5,0.0
2023-01-14,12.3,0.0
2023-01-15,13.3,0.0
2023-01-16,9.9,0.0
2023-01-17,10.3,0.0
2023-01-18,5.6,0.5
2023-01-19,6.0,0.0
2023-01-20,10.6,0.1
2023-01-21,9.0,0.3
2023-01-22,4.1,0.0
2023-01-23,2.6,0.0
2023-01-24,2.0,1.2
2023-01-25,4.3,0.0
2023-01-26,3.9,0.7
2023-01-27,4.4,0.0
2023-01-28,3.5,0.5
2023-01-29,3.7,0.2
2023-01-30,3.7,0.1
2023-01-31,7.3,0.0
2023-02-01,7.3,0.0
2023-02-02,6.6,0.0
2023-02-03,9.3,0.0
2023-02-04,10.1,0.0
2023-02-05,11.1,0.0
2023-02-06,7.7,3.4
2023-02-07,4.8,1.7
2023-02-08,6.1,0.7
2023-02-09,5.2,0.8
2023-02-10,3.3,1.2
2023-02-11,4.1,2.4
2023-02-12,5.4,0.2
2023-02-13,5.8,0.3
2023-02-14,6.1,0.2
2023-02-15,7.1,0.5
2023-02-16,8.1,0.0
2023-02-17,8.2,1.0
2023-02-18,9.4,0.3
2023-02-19,11.2,0.0
2023-02-20,12.3,0.0
2023-02-21,13.6,0.3
2023-02-22,13.9,0.0
2023-02-23,11.9,0.0
2023-02-24,7.1,0.0
2023-02-25,4.8,0.3
2023-02-26,6.4,0.0
2023-02-27,5.2,4.1
2023-02-28,5.0,0.0
2023-03-01,5.9,0.0
2023-03-02,4.9,0.0
2023-03-03,8.2,0.0
2023-03-04,6.9,0.0
2023-03-05,10.0,0.0
2023-03-06,10.7,3.9
2023-03-07,13.0,0.9
2023-03-08,15.6,0.0
2023-03-09,15.1,0.0
2023-03-10,16.9,0.0
2023-03-11,18.4,0.0
2023-03-12,18.6,0.0
2023-03-13,19.1,0.0
2023-03-14,15.4,0.0
2023-03-15,14.9,0.0
2023-03-16,15.9,0.0
2023-03-17,14.6,0.0
2023-03-18,11.7,1.2
2023-03-19,11.0,0.2
2023-03-20,12.0,0.0
2023-03-21,14.5,0.0
2023-03-22,16.3,0.0
2023-03-23,17.6,0.0
2023-03-24,18.4,0.0
2023-03-25,17.8,0.0
2023-03-26,19.0,0.0
2023-03-27,15.6,0.0
2023-03-28,14.8,0.0
2023-03-29,16.6,0.0
2023-03-30,20.1,0.0
2023-03-31,21.1,0.0
2023-04-01,18.4,0.4
2023-04-02,14.6,0.2
2023-04-03,12.9,0.0
2023-04-04,12.7,0.0
2023-04-05,11.3,0.0
2023-04-06,12.5,0.0
2023-04-07,14.0,0.0
2023-04-08,17.9,0.0
2023-04-09,18.4,0.0
2023-04-10,21.0,0.0
2023-04-11,20.5,0.0
2023-04-12,20.8,0.0
2023-04-13,15.3,0.0
2023-04-14,16.2,0.0
2023-04-15,17.9,0.0
2023-04-16,15.2,0.0
2023-04-17,13.8,0.0
2023-04-18,12.9,0.0
2023-04-19,13.5,0.5
2023-04-20,16.2,0.0
2023-04-21,18.8,0.0
2023-04-22,17.4,0.0
2023-04-23,17.4,0.0
2023-04-24,19.8,0.0
2023-04-25,23.5,0.0
2023-04-26,23.5,0.0
2023-04-27,25.1,0.0
2023-04-28,26.2,0.0
2023-04-29,24.3,2.6
2023-04-30,20.8,0.4
2023-05-01,19.2,1.5
2023-05-02,20.0,0.0
2023-05-03,19.0,0.0
2023-05-04,19.5,0.0
2023-05-05,21.3,0.0
2023-05-06,19.8,0.6
2023-05-07,19.2,5.6
2023-05-08,19.4,0.0
2023-05-09,24.1,0.0
2023-05-10,19.3,0.0
2023-05-11,17.0,0.0
2023-05-12,15.0,7.3
2023-05-13,11.8,12.1
2023-05-14,14.0,1.7
2023-05-15,16.9,0.0
2023-05-16,16.9,0.3
2023-05-17,14.2,0.1
2023-05-18,13.1,1.1
2023-05-19,12.2,13.6
2023-05-20,12.7,4.3
2023-05-21,12.3,8.3
2023-05-22,11.2,51.9
2023-05-23,12.3,45.1
2023-05-24,12.9,3.1
2023-05-25,15.5,2.9
2023-05-26,15.2,0.0
2023-05-27,15.2,5.8
2023-05-28,15.3,8.3
2023-05-29,15.7,3.4
2023-05-30,15.8,5.1
2023-05-31,16.2,4.0
2023-06-01,16.4,0.3
2023-06-02,15.3,5.5
2023-06-03,15.7,4.8
2023-06-04,16.4,8.1
2023-06-05,17.4,2.5
2023-06-06,18.7,0.0
2023-06-07,17.1,7.8
2023-06-08,18.3,1.2
