time,temperature_2m_mean,precipitation_sum
2023-01-01,7.2,1.1
2023-01-02,4.1,7.5
2023-01-03,0.9,0.0
2023-01-04,3.4,0.0
2023-01-05,4.1,0.0
2023-01-06,2.8,0.0
2023-01-07,1.9,6.9
2023-01-08,7.5,14.7
2023-01-09,4.6,0.1
2023-01-10,4.5,0.0
2023-01-11,4.2,1.6
2023-01-12,1.8,0.0
2023-01-13,2.7,0.0
2023-01-14,3.6,0.0
2023-01-15,1.6,2.5
2023-01-16,2.3,3.3
2023-01-17,1.6,7.4
2023-01-18,-2.7,3.9
2023-01-19,-1.1,0.9
2023-01-20,4.1,3.8
2023-01-21,1.6,1.9
2023-01-22,-3.7,0.0
2023-01-23,-3.2,1.7
2023-01-24,-2.9,2.9
2023-01-25,-3.2,0.0
2023-01-26,-1.5,0.7
2023-01-27,-1.8,1.8
2023-01-28,-2.1,2.0
2023-01-29,-2.9,0.5
2023-01-30,-1.4,0.0
2023-01-31,0.1,0.0
2023-02-01,0.2,0.0
2023-02-02,1.6,0.0
2023-02-03,3.6,0.0
2023-02-04,5.4,0.0
2023-02-05,3.4,0.0
2023-02-06,0.8,0.0
2023-02-07,-0.5,0.2
2023-02-08,0.1,1.4
2023-02-09,0.6,0.0
2023-02-10,-0.7,0.0
2023-02-11,0.1,0.0
2023-02-12,0.6,0.0
2023-02-13,1.8,0.0
2023-02-14,1.8,0.0
2023-02-15,2.7,0.0
2023-02-16,3.1,0.0
2023-02-17,3.1,0.0
2023-02-18,3.8,0.3
2023-02-19,6.0,2.1
2023-02-20,6.0,0.0
2023-02-21,4.9,5.2
2023-02-22,4.4,0.1
2023-02-23,-0.9,12.7
2023-02-24,-3.3,0.0
2023-02-25,-3.6,0.6
2023-02-26,-1.4,0.6
2023-02-27,-4.1,0.1
2023-02-28,-3.8,0.0
2023-03-01,-4.0,0.0
2023-03-02,-1.9,0.0
2023-03-03,1.0,0.0
2023-03-04,1.2,0.0
2023-03-05,1.0,1.8
2023-03-06,3.9,0.6
2023-03-07,4.8,0.1
2023-03-08,8.3,0.0
2023-03-09,8.1,9.2
2023-03-10,7.2,0.0
2023-03-11,8.7,0.0
2023-03-12,10.8,0.0
2023-03-13,7.5,0.1
2023-03-14,4.4,0.0
2023-03-15,8.1,0.0
2023-03-16,9.9,0.0
2023-03-17,7.1,0.5
2023-03-18,4.6,1.1
2023-03-19,6.6,0.0
2023-03-20,7.1,0.0
2023-03-21,7.9,0.0
2023-03-22,8.6,0.0
2023-03-23,8.8,0.0
2023-03-24,6.8,1.7
2023-03-25,7.7,0.0
2023-03-26,7.5,0.0
2023-03-27,7.5,0.0
2023-03-28,11.1,0.0
2023-03-29,11.7,0.0
2023-03-30,10.1,0.0
2023-03-31,9.5,0.0
2023-04-01,7.0,0.7
2023-04-02,4.5,0.0
2023-04-03,7.5,0.0
2023-04-04,7.8,0.0
2023-04-05,8.6,0.0
2023-04-06,11.0,0.0
2023-04-07,10.7,0.0
2023-04-08,11.9,0.0
2023-04-09,12.6,0.0
2023-04-10,12.6,0.0
2023-04-11,12.1,0.0
2023-04-12,7.7,3.6
2023-04-13,4.0,0.0
2023-04-14,6.8,0.1
2023-04-15,9.2,0.0
2023-04-16,9.5,0.0
2023-04-17,11.8,0.0
2023-04-18,11.3,0.0
2023-04-19,12.1,0.0
2023-04-20,12.8,0.0
2023-04-21,11.4,1.1
2023-04-22,9.2,4.8
2023-04-23,10.0,0.0
2023-04-24,11.8,0.0
2023-04-25,13.4,0.0
2023-04-26,14.6,0.0
2023-04-27,17.7,0.0
2023-04-28,18.0,0.0
2023-04-29,14.4,0.4
2023-04-30,12.5,0.0
2023-05-01,13.9,0.0
2023-05-02,15.3,0.0
2023-05-03,16.0,0.2
2023-05-04,12.2,0.0
2023-05-05,12.7,0.0
2023-05-06,12.9,0.5
2023-05-07,13.2,0.0
2023-05-08,15.8,0.0
2023-05-09,14.1,0.2
2023-05-10,10.9,0.0
2023-05-11,8.7,0.0
2023-05-12,6.3,2.3
2023-05-13,7.2,0.0
2023-05-14,8.4,0.3
2023-05-15,9.3,0.0
2023-05-16,8.2,0.0
2023-05-17,8.3,0.1
2023-05-18,7.2,0.0
2023-05-19,7.6,0.0
2023-05-20,7.1,0.4
2023-05-21,9.0,1.8
2023-05-22,10.5,5.3
2023-05-23,11.2,3.4
2023-05-24,11.8,2.8
2023-05-25,13.0,2.1
2023-05-26,10.8,27.3
2023-05-27,11.5,1.5
2023-05-28,11.4,10.5
2023-05-29,11.6,4.0
2023-05-30,12.1,1.7
2023-05-31,12.0,5.6
2023-06-01,12.0,12.5
2023-06-02,11.6,1.9
2023-06-03,12.3,1.5
2023-06-04,12.8,2.5
2023-06-05,14.0,4.1
2023-06-06,15.0,0.0
2023-06-07,14.6,0.9
