time,temperature_2m_mean,precipitation_sum
2023-01-01,11.1,0.0
2023-01-02,10.7,1.6
2023-01-03,11.5,0.1
2023-01-04,9.7,0.0
2023-01-05,9.0,0.0
2023-01-06,7.9,0.0
2023-01-07,8.4,0.1
2023-01-08,12.6,4.2
2023-01-09,12.4,9.2
2023-01-10,10.6,0.0
2023-01-11,9.3,0.0
2023-01-12,9.2,0.0
2023-01-13,8.2,0.0
2023-01-14,7.8,0.0
2023-01-15,8.8,0.9
2023-01-16,6.8,0.2
2023-01-17,9.6,8.1
2023-01-18,4.9,3.4
2023-01-19,3.7,0.0
2023-01-20,8.8,0.7
2023-01-21,9.0,1.6
2023-01-22,3.9,0.0
2023-01-23,3.5,0.4
2023-01-24,3.0,0.2
2023-01-25,3.2,0.0
2023-01-26,3.3,0.1
2023-01-27,3.8,0.0
2023-01-28,2.8,0.0
2023-01-29,3.2,0.0
2023-01-30,4.8,0.0
2023-01-31,5.0,0.0
2023-02-01,5.9,0.0
2023-02-02,6.7,0.0
2023-02-03,7.2,0.0
2023-02-04,7.9,0.0
2023-02-05,8.8,0.0
2023-02-06,7.8,0.0
2023-02-07,6.4,8.0
2023-02-08,7.5,0.0
2023-02-09,8.0,0.0
2023-02-10,6.9,0.0
2023-02-11,7.6,0.0
2023-02-12,9.1,0.0
2023-02-13,9.4,0.0
2023-02-14,10.4,0.0
2023-02-15,10.8,0.0
2023-02-16,10.6,0.0
2023-02-17,12.0,0.0
2023-02-18,13.8,0.0
2023-02-19,13.9,0.0
2023-02-20,15.0,0.0
2023-02-21,14.3,0.0
2023-02-22,12.6,0.0
2023-02-23,9.4,0.1
2023-02-24,6.3,0.0
2023-02-25,5.3,0.7
2023-02-26,6.5,2.4
2023-02-27,4.6,0.0
2023-02-28,3.8,0.0
2023-03-01,4.6,0.0
2023-03-02,4.3,0.0
2023-03-03,7.1,0.0
2023-03-04,7.9,0.0
2023-03-05,8.7,9.6
2023-03-06,9.7,5.1
2023-03-07,11.8,2.8
2023-03-08,13.3,2.4
2023-03-09,12.5,4.2
2023-03-10,13.1,1.1
2023-03-11,13.8,0.0
2023-03-12,16.3,0.0
2023-03-13,16.3,0.0
2023-03-14,12.3,0.0
2023-03-15,14.0,0.0
2023-03-16,16.5,0.0
2023-03-17,12.9,0.0
2023-03-18,12.6,0.9
2023-03-19,12.9,0.1
2023-03-20,13.8,0.0
2023-03-21,14.8,0.0
2023-03-22,16.2,0.0
2023-03-23,16.5,0.0
2023-03-24,14.8,0.0
2023-03-25,16.6,0.0
2023-03-26,17.0,0.0
2023-03-27,15.2,0.0
2023-03-28,16.6,0.0
2023-03-29,17.6,0.0
2023-03-30,17.7,0.0
2023-03-31,17.3,0.0
2023-04-01,16.1,0.0
2023-04-02,14.7,0.3
2023-04-03,13.5,0.0
2023-04-04,15.3,0.0
2023-04-05,16.0,0.0
2023-04-06,15.8,0.0
2023-04-07,16.1,0.0
2023-04-08,18.0,0.0
2023-04-09,19.2,0.0
2023-04-10,19.8,0.0
2023-04-11,19.7,0.0
2023-04-12,17.3,0.0
2023-04-13,14.4,0.0
2023-04-14,15.1,0.0
2023-04-15,17.0,0.0
2023-04-16,18.1,0.0
2023-04-17,18.0,0.0
2023-04-18,18.7,0.0
2023-04-19,18.5,0.0
2023-04-20,18.4,0.0
2023-04-21,18.5,0.3
2023-04-22,16.0,0.8
2023-04-23,17.8,0.0
2023-04-24,20.3,0.0
2023-04-25,22.2,0.0
2023-04-26,23.7,0.0
2023-04-27,25.4,0.0
2023-04-28,25.9,0.0
2023-04-29,21.4,2.7
2023-04-30,21.5,0.0
2023-05-01,21.8,0.0
2023-05-02,23.2,0.0
2023-05-03,24.4,0.0
2023-05-04,20.6,0.0
2023-05-05,22.2,0.0
2023-05-06,21.9,0.0
2023-05-07,21.8,0.0
2023-05-08,23.4,0.0
2023-05-09,24.5,0.0
2023-05-10,23.9,0.0
2023-05-11,22.3,0.0
2023-05-12,20.2,0.0
2023-05-13,17.1,0.0
2023-05-14,17.2,0.0
2023-05-15,19.0,0.0
2023-05-16,18.8,0.0
2023-05-17,19.7,0.0
2023-05-18,15.0,16.3
2023-05-19,15.8,0.2
2023-05-20,15.8,0.3
2023-05-21,15.1,1.4
2023-05-22,13.8,7.6
2023-05-23,13.5,14.3
2023-05-24,15.7,0.7
2023-05-25,17.7,3.3
2023-05-26,19.8,0.3
2023-05-27,16.0,8.7
2023-05-28,15.7,5.7
2023-05-29,16.7,0.7
2023-05-30,17.6,0.0
2023-05-31,18.5,0.0
2023-06-01,19.2,0.1
2023-06-02,18.3,1.2
2023-06-03,18.3,0.6
2023-06-04,19.8,0.8
2023-06-05,21.0,1.5
2023-06-06,23.1,0.0
2023-06-07,19.3,3.8
2023-06-08,19.4,3.5
2023-06-09,19.1,2.2
2023-06-10,20.8,0.1
2023-06-11,22.4,0.0
2023-06-12,22.8,0.0
2023-06-13,20.9,0.8
2023-06-14,22.3,0.0
2023-06-15,25.4,0.0
2023-06-16,26.8,0.0
2023-06-17,27.4,0.0
2023-06-18,25.6,0.7
2023-06-19,22.9,6.2
2023-06-20,22.1,7.8
2023-06-21,22.6,0.3
