time,temperature_2m_mean,precipitation_sum
2023-01-01,10.1,0.0
2023-01-02,10.2,0.0
2023-01-03,10.7,0.1
2023-01-04,9.0,0.0
2023-01-05,7.8,0.0
2023-01-06,8.2,0.0
2023-01-07,8.6,0.0
2023-01-08,14.1,7.4
2023-01-09,15.8,0.0
2023-01-10,12.2,0.0
2023-01-11,12.0,0.0
2023-01-12,9.7,0.0
2023-01-13,10.5,0.0
2023-01-14,9.8,0.0
2023-01-15,10.7,0.0
2023-01-16,10.6,0.0
2023-01-17,13.6,0.1
2023-01-18,8.5,0.0
2023-01-19,7.9,0.4
2023-01-20,12.1,0.0
2023-01-21,7.4,0.0
2023-01-22,5.8,0.0
2023-01-23,4.6,0.0
2023-01-24,4.2,0.0
2023-01-25,6.6,0.0
2023-01-26,6.4,0.0
2023-01-27,5.6,0.0
2023-01-28,5.7,0.0
2023-01-29,4.3,4.8
2023-01-30,5.2,0.0
2023-01-31,6.6,0.0
2023-02-01,6.2,0.0
2023-02-02,7.4,0.0
2023-02-03,8.1,0.0
2023-02-04,9.1,0.0
2023-02-05,8.2,0.0
2023-02-06,6.5,14.7
2023-02-07,7.2,1.1
2023-02-08,7.3,14.6
2023-02-09,7.1,1.6
2023-02-10,6.4,1.1
2023-02-11,6.3,0.0
2023-02-12,6.8,0.0
2023-02-13,6.1,0.0
2023-02-14,8.2,0.1
2023-02-15,8.8,0.4
2023-02-16,8.2,0.0
2023-02-17,7.4,0.0
2023-02-18,8.1,0.1
2023-02-19,9.1,0.0
2023-02-20,9.9,0.0
2023-02-21,9.5,3.7
2023-02-22,10.5,0.0
2023-02-23,9.8,0.6
2023-02-24,7.5,0.0
2023-02-25,8.5,0.0
2023-02-26,8.9,0.0
2023-02-27,5.1,0.0
2023-02-28,7.1,0.0
2023-03-01,5.5,0.0
2023-03-02,5.3,0.0
2023-03-03,7.0,0.3
2023-03-04,6.6,0.0
2023-03-05,10.0,0.0
2023-03-06,12.3,0.7
2023-03-07,14.4,0.0
2023-03-08,16.6,0.0
2023-03-09,17.8,0.3
2023-03-10,18.5,0.0
2023-03-11,19.0,0.0
2023-03-12,19.9,0.0
2023-03-13,20.1,0.0
2023-03-14,16.8,0.0
2023-03-15,13.9,0.0
2023-03-16,12.3,0.0
2023-03-17,12.1,0.0
2023-03-18,13.9,0.0
2023-03-19,13.0,0.0
2023-03-20,14.0,0.0
2023-03-21,13.0,0.0
2023-03-22,12.7,0.0
2023-03-23,15.8,0.0
2023-03-24,19.0,0.0
2023-03-25,16.5,0.0
2023-03-26,19.3,0.0
2023-03-27,14.7,0.0
2023-03-28,13.2,0.0
2023-03-29,13.7,0.0
2023-03-30,20.2,0.0
2023-03-31,21.9,0.0
2023-04-01,20.1,0.5
2023-04-02,16.0,0.1
2023-04-03,13.7,0.0
2023-04-04,12.5,0.0
2023-04-05,12.3,0.0
2023-04-06,12.9,0.0
2023-04-07,14.6,0.0
2023-04-08,14.2,0.0
2023-04-09,14.5,0.0
2023-04-10,14.0,0.0
2023-04-11,14.8,0.0
2023-04-12,20.5,0.1
2023-04-13,16.6,0.5
2023-04-14,18.2,0.0
2023-04-15,19.6,0.0
2023-04-16,15.8,0.0
2023-04-17,14.2,0.0
2023-04-18,13.9,0.0
2023-04-19,14.1,0.0
2023-04-20,17.8,0.0
2023-04-21,17.4,0.0
2023-04-22,17.4,0.1
2023-04-23,19.4,0.0
2023-04-24,18.2,0.0
2023-04-25,20.9,0.0
2023-04-26,17.8,0.0
2023-04-27,17.2,0.0
2023-04-28,18.4,0.0
2023-04-29,21.1,0.2
2023-04-30,19.5,0.0
2023-05-01,19.4,0.0
2023-05-02,17.9,0.0
2023-05-03,18.1,0.0
2023-05-04,19.2,0.0
2023-05-05,18.4,0.0
2023-05-06,18.3,0.0
2023-05-07,18.1,4.1
2023-05-08,19.8,0.0
2023-05-09,20.5,0.0
2023-05-10,18.8,0.0
2023-05-11,17.3,0.6
2023-05-12,16.1,6.4
2023-05-13,15.3,0.5
2023-05-14,17.0,0.1
2023-05-15,18.3,0.0
2023-05-16,18.3,0.0
2023-05-17,17.1,0.0
2023-05-18,16.3,1.6
2023-05-19,16.3,1.4
2023-05-20,16.4,0.1
2023-05-21,16.7,0.0
2023-05-22,16.6,2.8
2023-05-23,15.3,26.8
2023-05-24,17.2,4.2
2023-05-25,16.4,26.6
2023-05-26,16.3,10.8
2023-05-27,17.5,0.1
2023-05-28,17.0,6.7
2023-05-29,18.2,0.4
2023-05-30,17.5,0.4
2023-05-31,19.0,0.0
2023-06-01,17.8,7.0
2023-06-02,18.2,2.4
2023-06-03,18.6,2.2
2023-06-04,18.8,0.3
2023-06-05,19.6,0.1
2023-06-06,20.3,0.0
2023-06-07,18.7,3.1
2023-06-08,19.6,7.4
2023-06-09,23.2,0.6
2023-06-10,24.0,0.1
2023-06-11,22.0,4.0
2023-06-12,21.4,0.0
2023-06-13,21.8,5.1
2023-06-14,22.7,0.0
2023-06-15,23.9,0.0
2023-06-16,24.3,0.0
2023-06-17,25.3,0.0
2023-06-18,21.9,1.9
2023-06-19,22.4,0.0
2023-06-20,23.7,0.0
2023-06-21,23.7,1.3
2023-06-22,24.9,0.0
2023-06-23,24.8,0.0
2023-06-24,26.4,0.0
2023-06-25,27.8,0.0
2023-06-26,27.2,0.0
2023-06-27,25.6,0.0
2023-06-28,24.6,0.0
2023-06-29,24.4,0.1
2023-06-30,24.0,0.0
2023-07-01,23.9,0.0
2023-07-02,25.4,0.0
2023-07-03,24.9,0.0
2023-07-04,24.9,0.0
2023-07-05,24.1,0.4
2023-07-06,24.3,0.9
2023-07-07,24.0,3.0
2023-07-08,25.4,0.0
2023-07-09,25.9,0.0
2023-07-10,25.7,0.0
2023-07-11,26.8,0.0
2023-07-12,26.7,0.0
2023-07-13,25.5,0.5
2023-07-14,26.2,0.0
2023-07-15,28.0,0.0
2023-07-16,26.0,1.1
2023-07-17,25.8,0.6
2023-07-18,26.5,0.0
2023-07-19,27.5,0.0
2023-07-20,27.0,0.0
2023-07-21,25.7,0.0
2023-07-22,25.8,1.4
2023-07-23,26.6,0.7
2023-07-24,29.9,0.0
2023-07-25,25.9,0.0
2023-07-26,25.3,0.2
2023-07-27,25.7,2.5
2023-07-28,26.2,0.0
2023-07-29,27.4,0.0
2023-07-30,25.9,0.2
2023-07-31,26.7,0.6
2023-08-01,27.1,0.0
2023-08-02,29.7,0.0
2023-08-03,26.2,0.1
2023-08-04,24.6,1.3
2023-08-05,23.9,0.0
2023-08-06,24.5,0.0
2023-08-07,24.4,0.0
2023-08-08,25.2,0.0
2023-08-09,25.6,0.0
2023-08-10,29.8,0.0
2023-08-11,25.9,0.0
2023-08-12,25.5,0.0
2023-08-13,25.6,0.4
2023-08-14,25.5,0.0
2023-08-15,26.0,0.2
2023-08-16,25.9,0.0
2023-08-17,25.8,0.0
2023-08-18,26.3,0.0
2023-08-19,26.0,0.0
2023-08-20,26.2,0.0
2023-08-21,27.4,0.0
2023-08-22,27.6,0.0
2023-08-23,28.8,0.0
2023-08-24,29.0,0.0
2023-08-25,28.7,0.0
2023-08-26,26.3,4.2
2023-08-27,23.1,25.9
2023-08-28,23.9,0.0
2023-08-29,22.6,0.0
2023-08-30,22.5,0.0
2023-08-31,22.9,0.0
2023-09-01,23.9,0.0
2023-09-02,21.3,8.7
2023-09-03,21.2,48.7
2023-09-04,23.7,2.3
2023-09-05,23.4,0.5
2023-09-06,22.3,0.0
2023-09-07,22.4,0.0
2023-09-08,21.9,0.0
2023-09-09,21.8,0.0
2023-09-10,21.8,0.0
2023-09-11,22.8,0.0
2023-09-12,22.0,5.6
2023-09-13,21.3,2.9
2023-09-14,21.3,15.0
2023-09-15,20.3,24.8
2023-09-16,21.6,0.0
2023-09-17,22.2,10.4
2023-09-18,22.1,0.0
2023-09-19,20.0,9.1
2023-09-20,20.9,1.8
2023-09-21,21.4,0.0
2023-09-22,21.3,0.0
2023-09-23,19.0,0.0
2023-09-24,19.5,0.0
2023-09-25,19.5,0.0
2023-09-26,19.9,0.0
2023-09-27,20.8,0.0
2023-09-28,21.0,0.0
2023-09-29,21.1,0.0
2023-09-30,22.1,0.0
2023-10-01,23.3,0.0
2023-10-02,21.9,0.0
2023-10-03,21.1,0.0
2023-10-04,21.7,0.0
2023-10-05,21.5,0.0
2023-10-06,21.0,0.0
2023-10-07,20.4,0.0
2023-10-08,20.1,0.0
2023-10-09,19.3,0.0
2023-10-10,19.2,0.0
2023-10-11,19.2,0.0
2023-10-12,19.7,0.0
2023-10-13,20.8,0.0
2023-10-14,20.3,0.3
2023-10-15,19.8,0.1
2023-10-16,21.7,0.3
2023-10-17,19.8,0.0
2023-10-18,21.9,0.0
2023-10-19,21.9,10.3
2023-10-20,17.3,1.9
2023-10-21,16.3,0.0
2023-10-22,15.0,1.6
2023-10-23,18.2,0.1
2023-10-24,17.4,0.0
2023-10-25,19.0,4.1
