time,temperature_2m_mean,precipitation_sum
2023-01-01,10.8,13.8
2023-01-02,5.5,5.2
2023-01-03,2.8,0.0
2023-01-04,3.1,0.0
2023-01-05,3.3,0.0
2023-01-06,4.4,0.0
2023-01-07,7.0,15.8
2023-01-08,9.6,21.2
2023-01-09,7.0,1.7
2023-01-10,5.9,0.2
2023-01-11,8.1,1.8
2023-01-12,4.6,0.0
2023-01-13,4.0,0.0
2023-01-14,6.2,0.0
2023-01-15,5.3,1.0
2023-01-16,6.0,6.7
2023-01-17,4.8,4.9
2023-01-18,1.1,4.1
2023-01-19,1.7,1.2
2023-01-20,8.0,0.6
2023-01-21,6.0,0.0
2023-01-22,0.4,0.0
2023-01-23,0.2,0.0
2023-01-24,1.2,0.0
2023-01-25,-0.8,0.0
2023-01-26,1.0,0.0
2023-01-27,1.6,0.1
2023-01-28,1.4,0.1
2023-01-29,0.8,0.0
2023-01-30,0.1,0.0
2023-01-31,1.1,0.0
2023-02-01,2.6,0.0
2023-02-02,2.6,0.0
2023-02-03,4.1,0.0
2023-02-04,4.8,0.0
2023-02-05,3.3,0.0
2023-02-06,2.8,0.0
2023-02-07,2.8,0.0
2023-02-08,4.1,0.0
2023-02-09,2.9,0.0
2023-02-10,2.9,0.0
2023-02-11,2.8,0.0
2023-02-12,3.7,0.0
2023-02-13,5.9,0.0
2023-02-14,6.4,0.0
2023-02-15,6.4,0.0
2023-02-16,6.4,0.0
2023-02-17,7.3,0.0
2023-02-18,8.1,0.0
2023-02-19,9.3,0.9
2023-02-20,9.7,0.2
2023-02-21,7.7,9.6
2023-02-22,6.6,0.0
2023-02-23,2.5,13.4
2023-02-24,0.4,0.0
2023-02-25,1.5,0.0
2023-02-26,2.4,0.1
2023-02-27,0.5,0.0
2023-02-28,-0.2,0.0
2023-03-01,0.6,0.0
2023-03-02,1.0,0.0
2023-03-03,3.5,0.0
2023-03-04,4.2,0.0
2023-03-05,4.3,2.2
2023-03-06,7.0,2.0
2023-03-07,8.5,1.6
2023-03-08,11.1,6.4
2023-03-09,10.7,22.4
2023-03-10,10.3,0.4
2023-03-11,11.4,0.5
2023-03-12,12.1,0.0
2023-03-13,10.4,0.1
2023-03-14,7.3,0.1
2023-03-15,10.1,0.0
2023-03-16,13.1,0.2
2023-03-17,9.0,6.4
2023-03-18,7.8,0.9
2023-03-19,8.5,0.0
2023-03-20,10.0,0.0
2023-03-21,10.0,0.0
2023-03-22,10.6,0.0
2023-03-23,10.0,0.0
2023-03-24,10.4,2.1
2023-03-25,9.3,0.0
2023-03-26,10.0,0.4
2023-03-27,10.0,0.0
2023-03-28,13.1,0.0
2023-03-29,15.9,0.0
2023-03-30,12.6,0.0
2023-03-31,12.5,0.1
2023-04-01,9.4,0.7
2023-04-02,8.1,0.0
2023-04-03,10.0,0.0
2023-04-04,10.4,0.0
2023-04-05,9.9,0.0
2023-04-06,12.3,0.0
2023-04-07,14.1,0.0
2023-04-08,15.2,0.0
2023-04-09,16.1,0.0
2023-04-10,13.9,0.0
2023-04-11,13.9,0.0
2023-04-12,9.2,1.8
2023-04-13,6.7,0.0
2023-04-14,8.9,0.0
2023-04-15,12.2,0.0
2023-04-16,14.1,0.0
2023-04-17,14.6,0.0
2023-04-18,13.4,0.0
2023-04-19,16.3,0.0
2023-04-20,16.1,0.0
2023-04-21,13.5,9.0
2023-04-22,10.5,0.1
2023-04-23,12.1,0.0
2023-04-24,14.0,0.0
2023-04-25,15.4,0.0
2023-04-26,17.1,0.0
2023-04-27,20.3,0.0
2023-04-28,20.8,0.0
2023-04-29,17.1,0.0
2023-04-30,16.0,0.0
2023-05-01,17.2,0.0
2023-05-02,20.0,0.0
2023-05-03,20.3,0.0
2023-05-04,14.6,0.0
2023-05-05,14.5,0.0
2023-05-06,15.2,0.4
2023-05-07,16.1,0.0
2023-05-08,18.4,0.0
2023-05-09,16.7,0.0
2023-05-10,14.1,0.0
2023-05-11,13.1,0.0
2023-05-12,11.2,1.5
2023-05-13,11.4,0.0
2023-05-14,13.3,0.0
2023-05-15,14.2,0.0
2023-05-16,13.1,0.0
2023-05-17,12.8,0.0
2023-05-18,12.0,0.0
2023-05-19,12.2,0.0
2023-05-20,12.0,1.2
2023-05-21,11.9,1.1
2023-05-22,14.1,1.1
2023-05-23,15.9,0.8
2023-05-24,16.2,0.7
2023-05-25,16.4,6.3
2023-05-26,13.9,2.4
2023-05-27,14.2,5.6
2023-05-28,13.8,19.2
2023-05-29,14.3,14.5
2023-05-30,13.7,19.0
2023-05-31,14.7,3.5
2023-06-01,14.6,15.5
2023-06-02,14.9,3.7
2023-06-03,15.2,7.5
2023-06-04,15.9,1.6
2023-06-05,17.5,0.6
2023-06-06,19.2,0.7
2023-06-07,17.8,5.5
2023-06-08,17.0,3.4
2023-06-09,15.9,5.1
2023-06-10,16.8,0.1
2023-06-11,16.8,3.2
2023-06-12,16.7,4.4
2023-06-13,15.9,3.5
2023-06-14,17.9,0.0
2023-06-15,21.5,0.0
2023-06-16,22.8,0.0
2023-06-17,22.1,1.8
2023-06-18,19.2,0.9
2023-06-19,19.2,5.5
2023-06-20,17.0,2.2
2023-06-21,17.2,1.7
2023-06-22,19.1,0.0
2023-06-23,22.4,0.0
2023-06-24,24.9,0.0
2023-06-25,26.2,0.1
2023-06-26,24.7,0.0
2023-06-27,23.8,0.0
2023-06-28,23.8,0.0
2023-06-29,22.4,0.0
2023-06-30,19.2,0.0
2023-07-01,22.0,0.0
2023-07-02,24.1,1.2
2023-07-03,24.6,0.0
2023-07-04,22.1,0.0
2023-07-05,22.1,0.0
2023-07-06,22.2,0.0
2023-07-07,23.0,0.0
2023-07-08,20.2,0.0
2023-07-09,20.6,0.0
2023-07-10,24.8,0.0
2023-07-11,24.4,0.0
2023-07-12,22.2,0.0
2023-07-13,22.9,0.0
2023-07-14,23.9,0.0
2023-07-15,20.0,0.0
2023-07-16,19.5,0.0
2023-07-17,23.8,0.0
2023-07-18,26.4,0.0
2023-07-19,25.4,0.0
2023-07-20,22.6,0.0
2023-07-21,20.9,0.0
2023-07-22,22.3,0.0
2023-07-23,22.8,0.0
2023-07-24,19.2,0.0
2023-07-25,19.0,0.0
2023-07-26,22.3,0.0
2023-07-27,23.4,0.0
2023-07-28,21.7,0.0
2023-07-29,22.9,0.0
2023-07-30,23.7,0.0
2023-07-31,23.6,0.0
2023-08-01,22.4,0.0
2023-08-02,21.2,0.0
2023-08-03,19.2,0.0
2023-08-04,18.3,0.0
2023-08-05,22.1,0.0
2023-08-06,23.4,0.0
2023-08-07,24.7,0.0
2023-08-08,28.9,0.0
2023-08-09,28.6,0.0
2023-08-10,24.4,0.0
2023-08-11,26.6,0.0
2023-08-12,24.8,0.0
2023-08-13,24.0,0.0
2023-08-14,23.5,0.0
2023-08-15,22.9,0.0
2023-08-16,23.1,0.0
2023-08-17,23.8,0.0
2023-08-18,23.5,0.0
2023-08-19,24.6,0.0
2023-08-20,26.4,0.0
2023-08-21,28.0,0.0
2023-08-22,29.5,0.6
2023-08-23,29.9,0.0
2023-08-24,28.4,0.0
2023-08-25,25.4,0.0
2023-08-26,21.1,0.2
2023-08-27,17.4,0.0
2023-08-28,18.1,0.0
2023-08-29,18.9,0.0
2023-08-30,19.2,0.0
2023-08-31,21.3,0.0
2023-09-01,21.4,0.0
2023-09-02,18.3,5.6
2023-09-03,16.9,20.2
2023-09-04,17.7,1.7
2023-09-05,18.4,0.0
