time,temperature_2m_mean,precipitation_sum
2023-01-01,12.2,0.0
2023-01-02,11.7,5.8
2023-01-03,12.2,0.0
2023-01-04,11.4,0.0
2023-01-05,10.7,0.0
2023-01-06,8.9,0.0
2023-01-07,10.2,0.0
2023-01-08,14.9,7.4
2023-01-09,15.1,5.7
2023-01-10,12.0,0.0
2023-01-11,10.1,0.0
2023-01-12,10.9,0.0
2023-01-13,9.6,0.0
2023-01-14,9.7,0.0
2023-01-15,9.3,0.7
2023-01-16,8.2,0.0
2023-01-17,12.8,1.7
2023-01-18,9.1,0.6
2023-01-19,7.5,0.0
2023-01-20,11.6,1.3
2023-01-21,10.6,0.1
2023-01-22,7.2,0.0
2023-01-23,6.3,0.0
2023-01-24,6.5,0.0
2023-01-25,6.8,0.0
2023-01-26,5.7,0.0
2023-01-27,7.1,0.0
2023-01-28,6.6,0.0
2023-01-29,6.2,0.0
2023-01-30,6.8,0.0
2023-01-31,7.1,0.0
2023-02-01,8.4,0.0
2023-02-02,8.0,0.0
2023-02-03,8.7,0.0
2023-02-04,9.4,0.0
2023-02-05,10.3,0.0
2023-02-06,9.9,0.0
2023-02-07,8.2,22.2
2023-02-08,10.1,2.7
2023-02-09,10.6,0.0
2023-02-10,9.5,0.0
2023-02-11,10.3,0.0
2023-02-12,10.6,0.4
2023-02-13,11.4,0.0
2023-02-14,12.2,0.0
2023-02-15,13.0,0.0
2023-02-16,13.0,0.0
2023-02-17,14.8,0.0
2023-02-18,15.9,0.0
2023-02-19,14.5,0.0
2023-02-20,14.9,0.3
2023-02-21,15.3,0.0
2023-02-22,14.2,0.0
2023-02-23,11.8,0.0
2023-02-24,8.8,0.0
2023-02-25,8.5,1.0
2023-02-26,9.9,1.9
2023-02-27,8.6,0.0
2023-02-28,7.2,0.0
2023-03-01,7.7,0.0
2023-03-02,8.1,0.0
2023-03-03,8.8,0.0
2023-03-04,10.5,0.0
2023-03-05,11.6,7.1
2023-03-06,11.7,1.7
2023-03-07,14.5,0.6
2023-03-08,16.3,3.7
2023-03-09,15.5,4.0
2023-03-10,15.8,0.0
2023-03-11,15.4,0.0
2023-03-12,17.8,0.0
2023-03-13,17.5,0.0
2023-03-14,15.0,0.0
2023-03-15,16.7,0.0
2023-03-16,17.7,0.0
2023-03-17,16.4,1.2
2023-03-18,15.3,0.3
2023-03-19,15.5,0.0
2023-03-20,15.9,0.0
2023-03-21,16.1,0.0
2023-03-22,17.1,0.0
2023-03-23,18.1,0.0
2023-03-24,17.2,0.0
2023-03-25,18.8,0.0
2023-03-26,19.3,0.0
2023-03-27,18.5,0.0
2023-03-28,18.1,0.0
