time,temperature_2m_mean,precipitation_sum
2023-01-01,7.3,0.0
2023-01-02,8.3,1.5
2023-01-03,6.3,0.0
2023-01-04,4.8,0.0
2023-01-05,4.6,0.0
2023-01-06,3.0,0.0
2023-01-07,3.5,4.6
2023-01-08,10.1,10.3
2023-01-09,9.5,0.0
2023-01-10,5.1,0.0
2023-01-11,4.9,0.1
2023-01-12,3.7,0.0
2023-01-13,4.3,0.0
2023-01-14,3.5,0.0
2023-01-15,5.2,0.2
2023-01-16,5.3,0.3
2023-01-17,7.2,2.1
2023-01-18,3.2,0.2
2023-01-19,3.7,0.5
2023-01-20,8.5,1.1
2023-01-21,5.4,2.7
2023-01-22,1.5,0.0
2023-01-23,1.1,0.1
2023-01-24,0.9,0.0
2023-01-25,1.9,0.0
2023-01-26,3.6,0.0
2023-01-27,2.6,0.0
2023-01-28,3.1,0.0
2023-01-29,0.9,0.0
2023-01-30,0.9,0.0
2023-01-31,1.3,0.0
2023-02-01,3.7,0.0
2023-02-02,4.7,0.0
2023-02-03,4.6,0.0
2023-02-04,4.4,0.0
2023-02-05,6.4,0.0
2023-02-06,4.0,0.3
2023-02-07,3.8,0.2
2023-02-08,5.1,0.1
2023-02-09,5.1,1.2
2023-02-10,3.5,0.0
2023-02-11,2.8,0.0
2023-02-12,4.0,0.0
2023-02-13,4.3,0.0
2023-02-14,5.5,0.0
2023-02-15,7.0,0.0
2023-02-16,6.5,0.0
2023-02-17,7.1,0.0
2023-02-18,7.6,0.0
2023-02-19,10.3,0.4
2023-02-20,11.5,0.0
2023-02-21,9.5,1.6
2023-02-22,9.0,0.0
2023-02-23,5.8,1.8
2023-02-24,2.8,0.0
2023-02-25,2.4,0.3
2023-02-26,3.1,0.0
2023-02-27,1.1,0.0
2023-02-28,0.7,0.0
2023-03-01,0.2,0.0
2023-03-02,1.7,0.0
2023-03-03,3.4,0.0
2023-03-04,4.5,0.0
2023-03-05,4.1,3.1
2023-03-06,7.0,1.5
2023-03-07,10.1,1.3
2023-03-08,11.8,0.9
2023-03-09,12.8,4.7
2023-03-10,12.3,0.0
2023-03-11,13.4,0.0
2023-03-12,14.2,0.0
2023-03-13,13.7,0.0
2023-03-14,10.6,0.0
2023-03-15,10.7,0.0
2023-03-16,13.3,0.0
2023-03-17,12.6,0.4
2023-03-18,10.2,0.7
2023-03-19,10.8,0.0
2023-03-20,11.7,0.0
2023-03-21,12.6,0.0
2023-03-22,12.9,0.0
2023-03-23,14.1,0.0
2023-03-24,12.8,0.0
2023-03-25,12.6,0.0
2023-03-26,13.3,0.0
2023-03-27,11.5,0.0
2023-03-28,13.2,0.0
2023-03-29,15.3,0.0
2023-03-30,16.0,0.0
2023-03-31,15.1,0.9
2023-04-01,13.4,0.0
2023-04-02,9.8,0.0
2023-04-03,10.5,0.0
2023-04-04,12.5,0.0
2023-04-05,11.6,0.0
2023-04-06,14.2,0.0
2023-04-07,15.1,0.0
2023-04-08,16.2,0.0
2023-04-09,17.8,0.0
2023-04-10,18.5,0.0
2023-04-11,17.5,0.0
2023-04-12,15.0,0.0
2023-04-13,10.9,0.0
2023-04-14,13.8,0.0
2023-04-15,15.4,0.0
2023-04-16,15.9,0.0
2023-04-17,15.6,0.0
2023-04-18,14.5,0.0
2023-04-19,15.6,0.0
2023-04-20,18.1,0.0
2023-04-21,18.0,0.3
2023-04-22,15.5,5.7
2023-04-23,15.7,0.0
2023-04-24,17.4,0.0
2023-04-25,19.6,0.0
2023-04-26,19.7,0.0
2023-04-27,20.9,0.0
2023-04-28,22.5,0.0
2023-04-29,20.5,0.9
