time,temperature_2m_mean,precipitation_sum
2023-01-01,9.6,52.5
2023-01-02,5.6,0.0
2023-01-03,5.6,0.0
2023-01-04,7.5,0.0
2023-01-05,6.3,0.0
2023-01-06,5.8,0.0
2023-01-07,8.4,20.9
2023-01-08,7.9,20.4
2023-01-09,5.6,0.4
2023-01-10,8.6,0.1
2023-01-11,7.8,19.7
2023-01-12,5.9,0.4
2023-01-13,8.5,0.6
2023-01-14,10.1,1.3
2023-01-15,5.0,15.9
2023-01-16,8.2,55.8
2023-01-17,3.1,32.0
2023-01-18,0.8,19.6
2023-01-19,4.3,28.9
2023-01-20,7.5,2.9
2023-01-21,7.3,2.4
2023-01-22,2.7,0.0
2023-01-23,2.0,0.0
2023-01-24,2.9,0.0
2023-01-25,3.2,0.0
2023-01-26,3.9,3.7
2023-01-27,3.8,2.4
2023-01-28,2.8,0.2
2023-01-29,2.5,0.0
2023-01-30,1.7,0.0
2023-01-31,2.1,0.0
2023-02-01,4.6,0.0
2023-02-02,4.0,0.0
2023-02-03,5.4,0.0
2023-02-04,5.0,0.0
2023-02-05,4.9,0.0
2023-02-06,4.4,0.0
2023-02-07,2.2,0.4
2023-02-08,4.8,0.1
2023-02-09,5.2,0.0
2023-02-10,4.2,0.0
2023-02-11,5.8,0.0
2023-02-12,6.6,0.0
2023-02-13,9.0,0.0
2023-02-14,9.8,0.0
2023-02-15,9.8,0.0
2023-02-16,8.8,0.0
2023-02-17,9.8,0.0
2023-02-18,10.2,0.0
2023-02-19,9.4,0.0
2023-02-20,11.0,0.6
2023-02-21,9.5,6.8
2023-02-22,6.8,5.9
2023-02-23,2.3,4.2
2023-02-24,2.0,1.2
2023-02-25,2.9,10.3
2023-02-26,3.8,0.0
2023-02-27,1.6,0.0
2023-02-28,1.4,0.0
2023-03-01,0.6,1.0
2023-03-02,2.4,0.0
2023-03-03,3.4,0.0
2023-03-04,4.7,0.0
2023-03-05,5.7,0.0
2023-03-06,7.7,0.5
2023-03-07,9.6,4.2
2023-03-08,11.3,11.5
2023-03-09,10.0,16.3
2023-03-10,10.8,2.5
2023-03-11,11.9,8.9
2023-03-12,12.8,0.5
2023-03-13,9.6,15.5
2023-03-14,7.9,2.5
2023-03-15,9.9,0.0
2023-03-16,12.0,2.5
2023-03-17,8.3,9.6
2023-03-18,8.5,8.1
2023-03-19,9.1,0.4
2023-03-20,10.7,0.0
2023-03-21,10.1,0.4
2023-03-22,9.5,0.0
2023-03-23,11.2,4.0
2023-03-24,9.4,11.1
2023-03-25,8.6,4.1
2023-03-26,7.7,2.5
2023-03-27,8.9,0.0
2023-03-28,14.6,0.0
2023-03-29,15.3,0.7
2023-03-30,11.8,1.6
2023-03-31,10.3,5.5
2023-04-01,8.2,3.4
2023-04-02,7.5,0.0
2023-04-03,8.0,0.0
2023-04-04,9.2,0.0
2023-04-05,9.6,0.0
