id_municipio,lat,lon,osm_id,osm_type,osm_query_usada,osm_pass
09252167,41.5817985,1.3382600,342728,relation,"Talavera, lleida, Cataluña, España",pass_1
09252173,41.6472761,1.1409115,342727,relation,"Tàrrega, lleida, Cataluña, España",pass_1
09252189,41.4228470,1.0195198,342733,relation,"Tarrés, lleida, Cataluña, España",pass_1
09252192,41.7308605,1.2742092,342732,relation,"Tarroja de Segarra, lleida, Cataluña, España",pass_1
09252206,41.7184579,0.7631282,347640,relation,"Térmens, lleida, Cataluña, España",pass_1
09252213,42.5149560,1.2438960,347641,relation,"Tírvia, lleida, Cataluña, España",pass_1
09252228,41.9755539,1.2563829,347642,relation,"Tiurana, lleida, Cataluña, España",pass_1
09252234,41.8120807,1.4037146,347643,relation,"Torà, lleida, Cataluña, España",pass_1
09252249,41.3944051,0.7200405,11730004573,node,"Torms, Els, lleida, Cataluña, España",pass_1
09252252,41.7018162,1.0524009,347637,relation,"Tornabous, lleida, Cataluña, España",pass_1
09252271,42.4130548,0.9786399,779716825,way,"Torre de Cabdella, La, lleida, Cataluña, España",pass_1
09252265,41.4265429,0.5947229,347638,relation,"Torrebesses, lleida, Cataluña, España",pass_1
09252287,41.6735377,0.6066894,347635,relation,"Torrefarrera, lleida, Cataluña, España",pass_1
09259078,41.7787656,1.2473908,341310,relation,"Torrefeta i Florejacs, lleida, Cataluña, España",pass_1
09252304,41.5805089,0.8317131,343013,relation,"Torregrossa, lleida, Cataluña, España",pass_1
09252311,41.7043481,0.7028965,343012,relation,"Torrelameu, lleida, Cataluña, España",pass_1
09252326,41.5352381,0.5135629,343011,relation,"Torres de Segre, lleida, Cataluña, España",pass_1
09252332,41.6721720,0.6303608,343010,relation,"Torre-serona, lleida, Cataluña, España",pass_1
09252347,42.1669782,0.8950137,343014,relation,"Tremp, lleida, Cataluña, España",pass_1
09250432,42.5140237,0.8575306,396154169,way,"Vall de Boí, La, lleida, Cataluña, España",pass_1
09259010,42.5936277,1.2026698,341314,relation,"Vall de Cardós, lleida, Cataluña, España",pass_1
09252385,41.5249704,1.0890539,343018,relation,"Vallbona de les Monges, lleida, Cataluña, España",pass_1
09252402,41.7518459,0.8165116,347882,relation,"Vallfogona de Balaguer, lleida, Cataluña, España",pass_1
09259062,42.2939786,1.3418562,6426578852,node,"Valls d'Aguilar, Les, lleida, Cataluña, España",pass_1
09252398,42.3775374,1.4553493,11953388269,node,"Valls de Valira, Les, lleida, Cataluña, España",pass_1
09259097,42.2326197,1.4805477,2192830328,node,"Vansa i Fórnols, La, lleida, Cataluña, España",pass_1
09252424,41.6102775,1.1435120,347880,relation,"Verdú, lleida, Cataluña, España",pass_1
09252430,42.7017572,0.7954744,347881,relation,"Vielha e Mijaran, lleida, Cataluña, España",pass_1
09252445,41.6489380,1.1054885,347884,relation,"Vilagrassa, lleida, Cataluña, España",pass_1
09252458,42.4759263,0.7165615,347885,relation,"Vilaller, lleida, Cataluña, España",pass_1
09252477,42.7471748,0.7277956,347883,relation,"Vilamòs, lleida, Cataluña, España",pass_1
09252483,41.6140501,0.9623795,347878,relation,"Vilanova de Bellpuig, lleida, Cataluña, España",pass_1
09252542,41.6895577,0.7288787,343352,relation,"Vilanova de la Barca, lleida, Cataluña, España",pass_1
09252496,41.9113134,1.2523535,347879,relation,"Vilanova de l'Aguda, lleida, Cataluña, España",pass_1
09252509,41.9953518,1.0228846,343348,relation,"Vilanova de Meià, lleida, Cataluña, España",pass_1
09252516,41.7121134,0.6169172,343347,relation,"Vilanova de Segrià, lleida, Cataluña, España",pass_1
09252521,41.6628331,0.9289367,343350,relation,"Vila-sana, lleida, Cataluña, España",pass_1
