id_actividad,id_pais,id_ccaa,id_provincia,año,mes,categoria,producto,subcategoria,comunidad_autonoma,provincia,gasto_total_promedio,precio_medio_entrada_promedio,valoracion_por_categoria_promedio,valoracion_general_promedio,total_opiniones_categoria_promedio,hay_valoracion
47,ES,05,35,2023,7,paisaje naturaleza,actividades,deportes y aventuras,canarias,las palmas,2400.0,300.0,4.34,4.28,200378,True
48,ES,08,13,2023,7,paisaje naturaleza,actividades,deportes y aventuras,castilla - la mancha,ciudad real,26312.0,2024.0,4.36,4.29,3026,True
49,ES,08,16,2023,7,paisaje naturaleza,actividades,deportes y aventuras,castilla - la mancha,cuenca,2400.0,300.0,4.42,4.19,3251,True
50,ES,09,08,2023,7,paisaje naturaleza,actividades,deportes y aventuras,cataluna,barcelona,27584.5,1514.0,4.13,4.05,200444,True
51,ES,09,25,2023,7,paisaje naturaleza,actividades,deportes y aventuras,cataluna,lleida,59204.0,3116.0,4.38,4.27,9898,True
52,ES,13,28,2023,7,paisaje naturaleza,actividades,deportes y aventuras,comunidad de madrid,madrid,155835.0,1114.0,4.19,4.1,121795,True
53,ES,15,31,2023,7,paisaje naturaleza,actividades,deportes y aventuras,comunidad foral de navarra,navarra,624844.0,1291.0,4.33,4.23,7007,True
54,ES,11,06,2023,7,paisaje naturaleza,actividades,deportes y aventuras,extremadura,badajoz,209648.0,886.0,4.4,4.29,1116,True
55,ES,11,10,2023,7,paisaje naturaleza,actividades,deportes y aventuras,extremadura,caceres,353628.0,1786.0,4.5,4.33,5814,True
56,ES,04,07,2023,7,paisaje naturaleza,actividades,deportes y aventuras,illes balears,illes balears,10558.5,1151.0,4.42,4.33,203636,True
57,ES,16,48,2023,7,paisaje naturaleza,actividades,deportes y aventuras,pais vasco,bizkaia,11482.0,5741.0,4.38,4.31,7925,True
58,ES,16,20,2023,7,paisaje naturaleza,actividades,deportes y aventuras,pais vasco,gipuzkoa,55272.0,1316.0,4.61,4.41,26976,True
59,ES,14,30,2023,7,paisaje naturaleza,actividades,deportes y aventuras,region de murcia,murcia,1100.0,220.0,4.4,4.2,2633,True
60,ES,01,11,2023,7,comida y bebida,actividades,gastronomia,andalucia,cadiz,25185.0,3198.5,4.57,4.26,47,True
61,ES,01,41,2023,7,comida y bebida,actividades,gastronomia,andalucia,sevilla,249612.0,2013.0,4.76,4.34,8170,True
62,ES,02,50,2023,7,comida y bebida,actividades,gastronomia,aragon,zaragoza,11704.0,1463.0,4.03,4.21,35,True
