id_pais,id_provincia,año,mes,categoria,producto,subcategoria,comunidad_autonoma,provincia,gasto_total_promedio,precio_medio_entrada_promedio
ES,35,2023,7,comida y bebida,actividades,gastronomia,canarias,las palmas,37802.0,922.0
ES,38,2023,7,comida y bebida,actividades,gastronomia,canarias,santa cruz de tenerife,63626.0,2194.0
ES,16,2023,7,comida y bebida,actividades,gastronomia,castilla - la mancha,cuenca,1020.0,1020.0
ES,08,2023,7,comida y bebida,actividades,gastronomia,cataluna,barcelona,74754.0,687.5
ES,17,2023,7,comida y bebida,actividades,gastronomia,cataluna,girona,65650.0,1357.5
ES,43,2023,7,comida y bebida,actividades,gastronomia,cataluna,tarragona,19992.0,1030.33
ES,28,2023,7,comida y bebida,actividades,gastronomia,comunidad de madrid,madrid,354432.0,2496.0
ES,31,2023,7,comida y bebida,actividades,gastronomia,comunidad foral de navarra,navarra,2572.0,1025.5
ES,03,2023,7,comida y bebida,actividades,gastronomia,comunitat valenciana,alicante/alacant,17062.0,857.0
ES,07,2023,7,comida y bebida,actividades,gastronomia,illes balears,illes balears,42889.4,2730.2
ES,41,2023,7,vida nocturna,espectaculos,cine,andalucia,sevilla,174264.0,548.0
ES,22,2023,7,vida nocturna,espectaculos,cine,aragon,huesca,2560.0,80.0
ES,35,2023,7,vida nocturna,espectaculos,cine,canarias,las palmas,120.0,60.0
ES,08,2023,7,vida nocturna,espectaculos,cine,cataluna,barcelona,277544.0,1152.0
ES,17,2023,7,vida nocturna,espectaculos,cine,cataluna,girona,100.0,50.0
ES,07,2023,7,vida nocturna,espectaculos,cine,illes balears,illes balears,120.0,30.0
ES,35,2023,7,otros,espectaculos,conferencias,canarias,las palmas,39928.5,930.5
ES,16,2023,7,otros,espectaculos,conferencias,castilla - la mancha,cuenca,61457.0,1661.0
ES,08,2023,7,otros,espectaculos,conferencias,cataluna,barcelona,471932.0,929.0
ES,43,2023,7,otros,espectaculos,conferencias,cataluna,tarragona,2850.0,475.0
ES,28,2023,7,otros,espectaculos,conferencias,comunidad de madrid,madrid,14301.0,1358.0
ES,04,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",andalucia,almeria,855767.5,1201.25
ES,11,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",andalucia,cadiz,4314.5,163.5
ES,14,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",andalucia,cordoba,61899.0,1317.0
ES,18,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",andalucia,granada,24137.0,799.75
ES,21,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",andalucia,huelva,106396.0,1588.0
ES,23,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",andalucia,jaen,147334.0,3982.0
ES,29,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",andalucia,malaga,2522886.0,920.0
ES,41,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",andalucia,sevilla,83530.33,571.33
ES,50,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",aragon,zaragoza,2988.0,128.5
ES,35,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",canarias,las palmas,386861.33,607.33
ES,38,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",canarias,santa cruz de tenerife,108512.0,1624.0
ES,39,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",cantabria,cantabria,31680.0,132.0
ES,02,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",castilla - la mancha,albacete,55677.0,831.0
ES,13,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",castilla - la mancha,ciudad real,1980.0,792.0
ES,16,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",castilla - la mancha,cuenca,4527.5,1035.5
