id_pais,id_provincia,gid_provincia,categoria,comunidad_autonoma,provincia,valoracion_por_categoria_promedio,valoracion_general_promedio,total_opiniones_categoria_promedio,provincia_nombre
ES,14,ES-14,vida nocturna,andalucia,cordoba,4.3,4.29,1908.0,córdoba
ES,18,ES-18,vida nocturna,andalucia,granada,3.92,4.37,10900.0,granada
ES,21,ES-21,vida nocturna,andalucia,huelva,4.03,4.11,1623.0,huelva
ES,23,ES-23,vida nocturna,andalucia,jaen,4.0,4.33,992.0,jaén
ES,29,ES-29,vida nocturna,andalucia,malaga,4.3,4.43,56036.0,málaga
ES,41,ES-41,vida nocturna,andalucia,sevilla,4.05,4.34,39053.0,sevilla
ES,22,ES-22,vida nocturna,aragon,huesca,3.85,4.25,1293.0,huesca
ES,44,ES-44,vida nocturna,aragon,teruel,4.35,4.28,950.0,teruel
ES,50,ES-50,vida nocturna,aragon,zaragoza,3.75,4.21,1614.0,zaragoza
ES,35,ES-35,vida nocturna,canarias,las palmas,4.24,4.28,129544.0,las palmas
ES,38,ES-38,vida nocturna,canarias,santa cruz de tenerife,4.06,4.26,62671.0,santa cruz de tenerife
ES,39,ES-39,vida nocturna,cantabria,cantabria,4.02,4.27,5819.0,cantabria
ES,02,ES-02,vida nocturna,castilla - la mancha,albacete,4.21,4.15,573.0,albacete
ES,13,ES-13,vida nocturna,castilla - la mancha,ciudad real,4.17,4.29,385.0,ciudad real
ES,16,ES-16,vida nocturna,castilla - la mancha,cuenca,3.91,4.19,760.0,cuenca
ES,19,ES-19,vida nocturna,castilla - la mancha,guadalajara,3.23,4.04,447.0,guadalajara
ES,45,ES-45,vida nocturna,castilla - la mancha,toledo,3.99,4.18,434.0,toledo
ES,05,ES-05,vida nocturna,castilla y leon,avila,4.04,4.23,397.0,ávila
ES,09,ES-09,vida nocturna,castilla y leon,burgos,3.95,4.28,970.0,burgos
ES,24,ES-24,vida nocturna,castilla y leon,leon,3.97,4.21,1480.0,león
ES,34,ES-34,vida nocturna,castilla y leon,palencia,4.23,4.35,379.0,palencia
ES,37,ES-37,vida nocturna,castilla y leon,salamanca,3.66,4.17,3701.0,salamanca
ES,40,ES-40,vida nocturna,castilla y leon,segovia,3.91,4.07,263.0,segovia
ES,42,ES-42,vida nocturna,castilla y leon,soria,4.2,3.97,154.0,soria
ES,47,ES-47,vida nocturna,castilla y leon,valladolid,4.01,4.06,1293.0,valladolid
ES,49,ES-49,vida nocturna,castilla y leon,zamora,4.27,4.17,462.0,zamora
ES,08,ES-08,vida nocturna,cataluna,barcelona,3.95,4.05,119743.0,barcelona
ES,17,ES-17,vida nocturna,cataluna,girona,3.8,4.24,12856.0,girona
ES,25,ES-25,vida nocturna,cataluna,lleida,3.84,4.27,1184.0,lleida
ES,43,ES-43,vida nocturna,cataluna,tarragona,4.1,4.2,22730.0,tarragona
ES,28,ES-28,vida nocturna,comunidad de madrid,madrid,3.85,4.1,100430.0,madrid
ES,31,ES-31,vida nocturna,comunidad foral de navarra,navarra,3.72,4.23,2565.0,navarra
ES,03,ES-03,vida nocturna,comunitat valenciana,alicante/alacant,4.03,4.28,84389.0,alicante/alacant
ES,12,ES-12,vida nocturna,comunitat valenciana,castellon/castello,3.88,4.2,2406.0,castellón/castelló
ES,46,ES-46,vida nocturna,comunitat valenciana,valencia/valencia,3.72,4.15,9307.0,valencia/valència
ES,06,ES-06,vida nocturna,extremadura,badajoz,4.31,4.29,2109.0,badajoz
ES,10,ES-10,vida nocturna,extremadura,caceres,3.95,4.33,1377.0,cáceres
ES,15,ES-15,vida nocturna,galicia,a coruna,3.74,4.21,5653.0,a coruña
ES,27,ES-27,vida nocturna,galicia,lugo,4.18,4.28,502.0,lugo
ES,32,ES-32,vida nocturna,galicia,ourense,3.7,4.15,660.0,ourense
ES,36,ES-36,vida nocturna,galicia,pontevedra,4.0,4.17,3092.0,pontevedra
ES,07,ES-07,vida nocturna,illes balears,illes balears,4.12,4.33,122452.0,illes balears
ES,26,ES-26,vida nocturna,la rioja,la rioja,3.69,4.31,1866.0,la rioja
ES,01,ES-01,vida nocturna,pais vasco,araba/alava,3.82,4.41,1138.0,araba/álava
ES,48,ES-48,vida nocturna,pais vasco,bizkaia,4.21,4.31,5615.0,bizkaia
ES,20,ES-20,vida nocturna,pais vasco,gipuzkoa,4.14,4.41,5503.0,gipuzkoa
ES,33,ES-33,vida nocturna,principado de asturias,asturias,4.18,4.35,9626.0,asturias
ES,30,ES-30,vida nocturna,region de murcia,murcia,3.62,4.2,1488.0,murcia
