id_pais,id_provincia,gid_provincia,categoria,comunidad_autonoma,provincia,valoracion_por_categoria_promedio,valoracion_general_promedio,total_opiniones_categoria_promedio,provincia_nombre
ES,49,ES-49,compras,castilla y leon,zamora,4.36,4.17,242.0,zamora
ES,08,ES-08,compras,cataluna,barcelona,3.75,4.05,95381.0,barcelona
ES,17,ES-17,compras,cataluna,girona,4.09,4.24,3158.0,girona
ES,25,ES-25,compras,cataluna,lleida,4.4,4.27,233.0,lleida
ES,43,ES-43,compras,cataluna,tarragona,4.19,4.2,2200.0,tarragona
ES,28,ES-28,compras,comunidad de madrid,madrid,3.83,4.1,89796.0,madrid
ES,31,ES-31,compras,comunidad foral de navarra,navarra,4.29,4.23,798.0,navarra
ES,03,ES-03,compras,comunitat valenciana,alicante/alacant,4.22,4.28,12577.0,alicante/alacant
ES,12,ES-12,compras,comunitat valenciana,castellon/castello,4.41,4.2,773.0,castellón/castelló
ES,46,ES-46,compras,comunitat valenciana,valencia/valencia,3.72,4.15,81279.0,valencia/valència
ES,06,ES-06,compras,extremadura,badajoz,4.56,4.29,605.0,badajoz
ES,10,ES-10,compras,extremadura,caceres,4.54,4.33,545.0,cáceres
ES,15,ES-15,compras,galicia,a coruna,3.99,4.21,5636.0,a coruña
ES,27,ES-27,compras,galicia,lugo,4.37,4.28,221.0,lugo
ES,32,ES-32,compras,galicia,ourense,3.69,4.15,192.0,ourense
ES,36,ES-36,compras,galicia,pontevedra,4.27,4.17,3054.0,pontevedra
ES,07,ES-07,compras,illes balears,illes balears,4.17,4.33,22175.0,illes balears
ES,26,ES-26,compras,la rioja,la rioja,4.36,4.31,872.0,la rioja
ES,01,ES-01,compras,pais vasco,araba/alava,3.88,4.41,300.0,araba/álava
ES,48,ES-48,compras,pais vasco,bizkaia,3.8,4.31,694.0,bizkaia
ES,20,ES-20,compras,pais vasco,gipuzkoa,4.35,4.41,2233.0,gipuzkoa
ES,33,ES-33,compras,principado de asturias,asturias,4.23,4.35,2445.0,asturias
ES,30,ES-30,compras,region de murcia,murcia,3.89,4.2,1222.0,murcia
ES,04,ES-04,otros,andalucia,almeria,4.31,4.19,238.0,almería
ES,11,ES-11,otros,andalucia,cadiz,4.12,4.26,284.0,cádiz
ES,14,ES-14,otros,andalucia,cordoba,4.46,4.29,478.0,córdoba
ES,18,ES-18,otros,andalucia,granada,4.48,4.37,161.0,granada
ES,21,ES-21,otros,andalucia,huelva,4.09,4.11,164.0,huelva
ES,23,ES-23,otros,andalucia,jaen,4.24,4.33,765.0,jaén
ES,29,ES-29,otros,andalucia,malaga,4.25,4.43,1156.0,málaga
ES,41,ES-41,otros,andalucia,sevilla,3.68,4.34,431.0,sevilla
ES,22,ES-22,otros,aragon,huesca,4.26,4.25,61.0,huesca
ES,44,ES-44,otros,aragon,teruel,4.17,4.28,5064.0,teruel
ES,50,ES-50,otros,aragon,zaragoza,3.75,4.21,158.0,zaragoza
ES,35,ES-35,otros,canarias,las palmas,4.32,4.28,176.5,las palmas
ES,38,ES-38,otros,canarias,santa cruz de tenerife,4.6,4.26,927.0,santa cruz de tenerife
ES,39,ES-39,otros,cantabria,cantabria,4.29,4.27,232.0,cantabria
ES,02,ES-02,otros,castilla - la mancha,albacete,3.41,4.15,78.0,albacete
ES,13,ES-13,otros,castilla - la mancha,ciudad real,4.21,4.29,156.0,ciudad real
ES,16,ES-16,otros,castilla - la mancha,cuenca,4.51,4.19,3406.0,cuenca
ES,19,ES-19,otros,castilla - la mancha,guadalajara,3.98,4.04,45.0,guadalajara
ES,45,ES-45,otros,castilla - la mancha,toledo,4.06,4.18,82.0,toledo
ES,05,ES-05,otros,castilla y leon,avila,3.61,4.23,173.0,ávila
ES,09,ES-09,otros,castilla y leon,burgos,4.53,4.28,428.0,burgos
ES,24,ES-24,otros,castilla y leon,leon,3.98,4.21,146.0,león
ES,34,ES-34,otros,castilla y leon,palencia,5.0,4.35,16.0,palencia
ES,37,ES-37,otros,castilla y leon,salamanca,4.17,4.17,760.0,salamanca
ES,40,ES-40,otros,castilla y leon,segovia,4.22,4.07,248.0,segovia
ES,42,ES-42,otros,castilla y leon,soria,3.82,3.97,60.0,soria
ES,47,ES-47,otros,castilla y leon,valladolid,4.45,4.06,83.0,valladolid
ES,49,ES-49,otros,castilla y leon,zamora,3.68,4.17,378.0,zamora
ES,08,ES-08,otros,cataluna,barcelona,3.9,4.05,2019.0,barcelona
ES,17,ES-17,otros,cataluna,girona,4.07,4.24,798.0,girona
ES,25,ES-25,otros,cataluna,lleida,3.88,4.27,79.0,lleida
ES,43,ES-43,otros,cataluna,tarragona,4.01,4.2,1769.0,tarragona
ES,28,ES-28,otros,comunidad de madrid,madrid,3.97,4.1,1624.0,madrid
ES,31,ES-31,otros,comunidad foral de navarra,navarra,4.27,4.23,500.0,navarra
ES,03,ES-03,otros,comunitat valenciana,alicante/alacant,4.26,4.28,392.0,alicante/alacant
ES,12,ES-12,otros,comunitat valenciana,castellon/castello,3.95,4.2,247.0,castellón/castelló
ES,46,ES-46,otros,comunitat valenciana,valencia/valencia,4.49,4.15,621.0,valencia/valència
ES,06,ES-06,otros,extremadura,badajoz,3.9,4.29,311.0,badajoz
ES,10,ES-10,otros,extremadura,caceres,4.42,4.33,727.0,cáceres
ES,15,ES-15,otros,galicia,a coruna,4.09,4.21,200.0,a coruña
ES,27,ES-27,otros,galicia,lugo,3.88,4.28,192.0,lugo
ES,32,ES-32,otros,galicia,ourense,4.73,4.15,26.0,ourense
ES,36,ES-36,otros,galicia,pontevedra,4.43,4.17,119.0,pontevedra
ES,07,ES-07,otros,illes balears,illes balears,4.21,4.33,295.5,illes balears
ES,26,ES-26,otros,la rioja,la rioja,4.09,4.31,363.0,la rioja
ES,48,ES-48,otros,pais vasco,bizkaia,4.87,4.31,794.0,bizkaia
ES,20,ES-20,otros,pais vasco,gipuzkoa,4.01,4.41,57.0,gipuzkoa
ES,33,ES-33,otros,principado de asturias,asturias,4.4,4.35,92.0,asturias
ES,30,ES-30,otros,region de murcia,murcia,3.14,4.2,7.0,murcia
ES,04,ES-04,paisaje naturaleza,andalucia,almeria,4.32,4.19,23376.0,almería
ES,11,ES-11,paisaje naturaleza,andalucia,cadiz,4.27,4.26,12349.5,cádiz
