id_municipio,id_municipio_parcial,id_provincia,id_ccaa,nombre
10030319,030319,03,10,Benidorm
10030324,030324,03,10,Benifallim
10030330,030330,03,10,Benifato
10030298,030298,03,10,Benigembla
10030345,030345,03,10,Benijófar
10030358,030358,03,10,Benilloba
10030361,030361,03,10,Benillup
10030377,030377,03,10,Benimantell
10030383,030383,03,10,Benimarfull
10030396,030396,03,10,Benimassot
10030400,030400,03,10,Benimeli
10030417,030417,03,10,Benissa
10030438,030438,03,10,Biar
10030443,030443,03,10,Bigastro
10030456,030456,03,10,Bolulla
10030469,030469,03,10,Busot
10030494,030494,03,10,Callosa de Segura
10030481,030481,03,10,Callosa d'en Sarrià
10030475,030475,03,10,Calp
10030514,030514,03,10,"Camp de Mirra, el/Campo de Mirra"
10030507,030507,03,10,"Campello, el"
10030529,030529,03,10,Cañada
10030535,030535,03,10,Castalla
10030540,030540,03,10,Castell de Castells
10030759,030759,03,10,"Castell de Guadalest, el"
10030553,030553,03,10,Catral
10030566,030566,03,10,Cocentaina
10030572,030572,03,10,Confrides
10030588,030588,03,10,Cox
10030591,030591,03,10,Crevillent
10030612,030612,03,10,Daya Nueva
10030627,030627,03,10,Daya Vieja
10030633,030633,03,10,Dénia
10030648,030648,03,10,Dolores
10030664,030664,03,10,Elda
10030651,030651,03,10,Elx/Elche
10030670,030670,03,10,Fageca
10030686,030686,03,10,Famorca
10030699,030699,03,10,Finestrat
10030778,030778,03,10,"Fondó de les Neus, el/Hondón de las Nieves"
10030703,030703,03,10,Formentera del Segura
10030725,030725,03,10,Gaianes
10030710,030710,03,10,Gata de Gorgos
10030731,030731,03,10,Gorga
10030746,030746,03,10,Granja de Rocamora
10030762,030762,03,10,Guardamar del Segura
10030784,030784,03,10,Hondón de los Frailes
10030797,030797,03,10,Ibi
10030801,030801,03,10,Jacarilla
10030857,030857,03,10,Llíber
10030860,030860,03,10,Millena
10030882,030882,03,10,Monforte del Cid
10030895,030895,03,10,Monòver/Monóvar
10039037,039037,03,10,"Montesinos, Los"
10030916,030916,03,10,Murla
10030921,030921,03,10,Muro de Alcoy
10030909,030909,03,10,Mutxamel
10030937,030937,03,10,Novelda
10030942,030942,03,10,"Nucia, la"
10030955,030955,03,10,Ondara
10030968,030968,03,10,Onil
10030974,030974,03,10,Orba
10030993,030993,03,10,Orihuela
10030844,030844,03,10,"Orxa, l'/Lorcha"
10030980,030980,03,10,Orxeta
10031007,031007,03,10,Parcent
10031014,031014,03,10,Pedreguer
10031029,031029,03,10,Pego
10031035,031035,03,10,Penàguila
10031040,031040,03,10,Petrer
10039021,039021,03,10,Pilar de la Horadada
10031053,031053,03,10,"Pinós, el/Pinoso"
10031066,031066,03,10,Planes
10030422,030422,03,10,"Poble Nou de Benitatxell, el/Benitachell"
10039016,039016,03,10,"Poblets, els"
10031072,031072,03,10,Polop
10030605,030605,03,10,Quatretondeta
10031091,031091,03,10,Rafal
10031105,031105,03,10,"Ràfol d'Almúnia, el"
10031112,031112,03,10,Redován
10031127,031127,03,10,Relleu
10031133,031133,03,10,Rojales
10031148,031148,03,10,"Romana, la"
10031151,031151,03,10,Sagra
10031164,031164,03,10,Salinas
10031186,031186,03,10,San Fulgencio
10039042,039042,03,10,San Isidro
10031203,031203,03,10,San Miguel de Salinas
10031170,031170,03,10,Sanet y Negrals
10031199,031199,03,10,Sant Joan d'Alacant
10031225,031225,03,10,Sant Vicent del Raspeig/San Vicente del Raspeig
10031210,031210,03,10,Santa Pola
10031231,031231,03,10,Sax
10031246,031246,03,10,Sella
10031259,031259,03,10,Senija
10031278,031278,03,10,Tàrbena
10031284,031284,03,10,Teulada
10031297,031297,03,10,Tibi
10031301,031301,03,10,Tollos
10031318,031318,03,10,Tormos
10031323,031323,03,10,"Torre de les Maçanes, la/Torremanzanas"
10031339,031339,03,10,Torrevieja
10031344,031344,03,10,"Vall d'Alcalà, la"
10031360,031360,03,10,"Vall de Gallinera, la"
10031376,031376,03,10,"Vall de Laguar, la"
