AÑO;MES;CCAA;TIPO_VIVIENDA;VIVIENDAS_TURISTICAS;PLAZAS;VALORACIONES;PLAZAS_POR_VIVIENDA_TURISTICA;PORCENTAJE_VIVIENDAS_TURISTICAS;PRECIO
2023;5;Canarias;Casa entera;38976;175309;4,71;4,5;3,58;251,01
2023;5;Canarias;Habitación compartida;174;510;4,72;2,93;0,02;53,72
2023;5;Canarias;Habitación privada;2914;7375;4,7;2,53;0,27;111,84
2023;5;Canarias;No aplica;0;0;;;0,0;
2023;5;Canarias;Otros;10;14;4,78;1,4;0,0;96,0
2023;5;Cantabria;Alternativo;182;862;4,78;4,74;0,05;220,93
2023;5;Cantabria;Apartamento;185;659;4,72;3,56;0,05;695,4
2023;5;Cantabria;Casa entera;5806;31025;4,67;5,34;1,51;273,9
2023;5;Cantabria;Habitación compartida;8;45;4,73;5,63;0,0;47,25
2023;5;Cantabria;Habitación privada;792;2146;4,71;2,71;0,21;123,84
2023;5;Cantabria;No aplica;0;0;;;0,0;
2023;5;Cantabria;Otros;1;13;4,9;13,0;0,0;290,0
2023;5;Castilla - La Mancha;Alternativo;161;738;4,73;4,58;0,01;196,15
2023;5;Castilla - La Mancha;Apartamento;132;506;4,73;3,83;0,01;145,81
2023;5;Castilla - La Mancha;Casa entera;3363;22079;4,42;6,57;0,26;223,33
2023;5;Castilla - La Mancha;Habitación compartida;2;8;4,82;4,0;0,0;151,5
2023;5;Castilla - La Mancha;Habitación privada;669;2212;4,49;3,31;0,05;107,87
2023;5;Castilla - La Mancha;No aplica;0;0;;;0,0;
2023;5;Castilla - La Mancha;Otros;1;4;4,76;4,0;0,0;168,0
2023;5;Castilla y León;Alternativo;109;472;4,77;4,33;0,01;175,18
2023;5;Castilla y León;Apartamento;179;656;4,73;3,66;0,01;118,11
2023;5;Castilla y León;Casa entera;5683;35261;4,5;6,2;0,32;199,32
2023;5;Castilla y León;Habitación compartida;10;30;4,72;3,0;0,0;35,3
2023;5;Castilla y León;Habitación privada;945;3026;4,65;3,2;0,05;82,08
2023;5;Castilla y León;No aplica;0;0;;;0,0;
2023;5;Castilla y León;Otros;5;13;4,61;2,6;0,0;95,6
2023;5;Cataluña;Alternativo;709;3357;4,67;4,73;0,02;205,21
2023;5;Cataluña;Apartamento;1087;4566;4,64;4,2;0,03;177,76
2023;5;Cataluña;Casa entera;43289;253904;4,58;5,87;1,11;314,99
2023;5;Cataluña;Habitación compartida;40;115;4,4;2,88;0,0;46,05
2023;5;Cataluña;Habitación privada;5828;16188;4,62;2,78;0,15;109,22
