_id,mes,empresa,tipo_de_servicio,tipo_de_producto,trayecto,precio
82,2023-03,Total,Comercial,LD AV,Madrid-Valencia,31.29000
83,2023-04,Iryo,Comercial,LD AV,Madrid-Barcelona,40.31000
84,2023-04,Iryo,Comercial,LD AV,Madrid-Málaga,52.77000
85,2023-04,Iryo,Comercial,LD AV,Madrid-Sevilla,58.25000
86,2023-04,Iryo,Comercial,LD AV,Madrid-Valencia,23.46000
87,2023-04,OUIGO,Comercial,LD AV,Madrid-Alicante,24.26000
88,2023-04,OUIGO,Comercial,LD AV,Madrid-Barcelona,39.58000
89,2023-04,OUIGO,Comercial,LD AV,Madrid-Valencia,23.74000
90,2023-04,Renfe-AVE,Comercial,LD AV,Madrid-Alicante,55.17000
91,2023-04,Renfe-AVE,Comercial,LD AV,Madrid-Barcelona,68.46000
92,2023-04,Renfe-AVE,Comercial,LD AV,Madrid-Málaga,68.10000
93,2023-04,Renfe-AVE,Comercial,LD AV,Madrid-Sevilla,75.77000
94,2023-04,Renfe-AVE,Comercial,LD AV,Madrid-Valencia,38.86000
95,2023-04,Renfe-AVLO,Comercial,LD AV,Madrid-Alicante,32.76000
96,2023-04,Renfe-AVLO,Comercial,LD AV,Madrid-Barcelona,46.62000
97,2023-04,Renfe-AVLO,Comercial,LD AV,Madrid-Valencia,23.78000
98,2023-04,Total,Comercial,LD AV,Madrid-Alicante,51.37000
99,2023-04,Total,Comercial,LD AV,Madrid-Barcelona,53.47000
100,2023-04,Total,Comercial,LD AV,Madrid-Málaga,65.76000
101,2023-04,Total,Comercial,LD AV,Madrid-Sevilla,73.23000
102,2023-04,Total,Comercial,LD AV,Madrid-Valencia,30.46000
103,2023-05,Iryo,Comercial,LD AV,Madrid-Barcelona,44.01000
104,2023-05,Iryo,Comercial,LD AV,Madrid-Málaga,56.74000
105,2023-05,Iryo,Comercial,LD AV,Madrid-Sevilla,57.41000
106,2023-05,Iryo,Comercial,LD AV,Madrid-Valencia,24.52000
107,2023-05,OUIGO,Comercial,LD AV,Madrid-Alicante,18.30000
108,2023-05,OUIGO,Comercial,LD AV,Madrid-Barcelona,40.31000
109,2023-05,OUIGO,Comercial,LD AV,Madrid-Valencia,21.92000
110,2023-05,Renfe-AVE,Comercial,LD AV,Madrid-Alicante,52.82000
111,2023-05,Renfe-AVE,Comercial,LD AV,Madrid-Barcelona,69.19000
112,2023-05,Renfe-AVE,Comercial,LD AV,Madrid-Málaga,71.22000
113,2023-05,Renfe-AVE,Comercial,LD AV,Madrid-Sevilla,74.80000
114,2023-05,Renfe-AVE,Comercial,LD AV,Madrid-Valencia,40.73000
115,2023-05,Renfe-AVLO,Comercial,LD AV,Madrid-Alicante,25.03000
116,2023-05,Renfe-AVLO,Comercial,LD AV,Madrid-Barcelona,47.56000
117,2023-05,Renfe-AVLO,Comercial,LD AV,Madrid-Valencia,24.10000
118,2023-05,Total,Comercial,LD AV,Madrid-Alicante,44.02000
119,2023-05,Total,Comercial,LD AV,Madrid-Barcelona,55.32000
120,2023-05,Total,Comercial,LD AV,Madrid-Málaga,68.58000
121,2023-05,Total,Comercial,LD AV,Madrid-Sevilla,70.33000
122,2023-05,Total,Comercial,LD AV,Madrid-Valencia,31.33000
123,2023-06,Iryo,Comercial,LD AV,Madrid-Alicante,29.64000
124,2023-06,Iryo,Comercial,LD AV,Madrid-Barcelona,45.21000
125,2023-06,Iryo,Comercial,LD AV,Madrid-Málaga,60.66000
126,2023-06,Iryo,Comercial,LD AV,Madrid-Sevilla,56.88000
127,2023-06,Iryo,Comercial,LD AV,Madrid-Valencia,27.48000
128,2023-06,OUIGO,Comercial,LD AV,Madrid-Alicante,20.99000
129,2023-06,OUIGO,Comercial,LD AV,Madrid-Barcelona,39.94000
130,2023-06,OUIGO,Comercial,LD AV,Madrid-Valencia,21.37000
131,2023-06,Renfe-AVE,Comercial,LD AV,Madrid-Alicante,58.33000
132,2023-06,Renfe-AVE,Comercial,LD AV,Madrid-Barcelona,65.33000
133,2023-06,Renfe-AVE,Comercial,LD AV,Madrid-Málaga,70.65000
134,2023-06,Renfe-AVE,Comercial,LD AV,Madrid-Sevilla,71.61000
135,2023-06,Renfe-AVE,Comercial,LD AV,Madrid-Valencia,46.40000
136,2023-06,Renfe-AVLO,Comercial,LD AV,Madrid-Alicante,28.56000
137,2023-06,Renfe-AVLO,Comercial,LD AV,Madrid-Barcelona,46.47000
138,2023-06,Renfe-AVLO,Comercial,LD AV,Madrid-Málaga,57.68000
139,2023-06,Renfe-AVLO,Comercial,LD AV,Madrid-Sevilla,44.40000
140,2023-06,Renfe-AVLO,Comercial,LD AV,Madrid-Valencia,25.06000
141,2023-06,Total,Comercial,LD AV,Madrid-Alicante,46.50000
142,2023-06,Total,Comercial,LD AV,Madrid-Barcelona,53.85000
143,2023-06,Total,Comercial,LD AV,Madrid-Málaga,67.00000
144,2023-06,Total,Comercial,LD AV,Madrid-Sevilla,64.91000
145,2023-06,Total,Comercial,LD AV,Madrid-Valencia,34.80000
146,2023-07,Iryo,Comercial,LD AV,Madrid-Alicante,34.65000
147,2023-07,Iryo,Comercial,LD AV,Madrid-Barcelona,49.75000
148,2023-07,Iryo,Comercial,LD AV,Madrid-Málaga,56.95000
149,2023-07,Iryo,Comercial,LD AV,Madrid-Sevilla,49.72000
150,2023-07,Iryo,Comercial,LD AV,Madrid-Valencia,28.39000
151,2023-07,OUIGO,Comercial,LD AV,Madrid-Alicante,27.21000
152,2023-07,OUIGO,Comercial,LD AV,Madrid-Barcelona,44.41000
153,2023-07,OUIGO,Comercial,LD AV,Madrid-Valencia,23.21000
154,2023-07,Renfe-AVE,Comercial,LD AV,Madrid-Alicante,60.48000
155,2023-07,Renfe-AVE,Comercial,LD AV,Madrid-Barcelona,62.22000
156,2023-07,Renfe-AVE,Comercial,LD AV,Madrid-Málaga,70.41000
157,2023-07,Renfe-AVE,Comercial,LD AV,Madrid-Sevilla,61.70000
158,2023-07,Renfe-AVE,Comercial,LD AV,Madrid-Valencia,44.21000
159,2023-07,Renfe-AVLO,Comercial,LD AV,Madrid-Alicante,32.62000
160,2023-07,Renfe-AVLO,Comercial,LD AV,Madrid-Barcelona,46.19000
161,2023-07,Renfe-AVLO,Comercial,LD AV,Madrid-Málaga,58.80000
162,2023-07,Renfe-AVLO,Comercial,LD AV,Madrid-Sevilla,38.50000
163,2023-07,Renfe-AVLO,Comercial,LD AV,Madrid-Valencia,25.46000
164,2023-07,Total,Comercial,LD AV,Madrid-Alicante,49.69000
165,2023-07,Total,Comercial,LD AV,Madrid-Barcelona,54.49000
166,2023-07,Total,Comercial,LD AV,Madrid-Málaga,65.57000
167,2023-07,Total,Comercial,LD AV,Madrid-Sevilla,56.28000
168,2023-07,Total,Comercial,LD AV,Madrid-Valencia,34.28000
169,2023-08,Iryo,Comercial,LD AV,Madrid-Alicante,28.99000
170,2023-08,Iryo,Comercial,LD AV,Madrid-Barcelona,40.62000
171,2023-08,Iryo,Comercial,LD AV,Madrid-Málaga,52.65000
172,2023-08,Iryo,Comercial,LD AV,Madrid-Sevilla,38.96000
173,2023-08,Iryo,Comercial,LD AV,Madrid-Valencia,22.28000
174,2023-08,OUIGO,Comercial,LD AV,Madrid-Alicante,27.44000
175,2023-08,OUIGO,Comercial,LD AV,Madrid-Barcelona,41.75000
176,2023-08,OUIGO,Comercial,LD AV,Madrid-Valencia,22.76000
177,2023-08,Renfe-AVE,Comercial,LD AV,Madrid-Alicante,57.09000
178,2023-08,Renfe-AVE,Comercial,LD AV,Madrid-Barcelona,55.99000
179,2023-08,Renfe-AVE,Comercial,LD AV,Madrid-Málaga,64.57000
180,2023-08,Renfe-AVE,Comercial,LD AV,Madrid-Sevilla,50.49000
181,2023-08,Renfe-AVE,Comercial,LD AV,Madrid-Valencia,38.81000
182,2023-08,Renfe-AVLO,Comercial,LD AV,Madrid-Alicante,29.19000
183,2023-08,Renfe-AVLO,Comercial,LD AV,Madrid-Barcelona,38.93000
