CATEGORIA;CCAA;PROVINCIA;VALORACION_POR_CATEGORIA;TOTAL_OPINIONES_CATEGORIA;VALORACION_GENERAL
Activo Urbano;Illes Balears;Illes Balears;4,49;98675;4,33
Activo Urbano;La Rioja;La Rioja;4,55;9835;4,31
Activo Urbano;Melilla;Melilla;5,0;1;3,94
Activo Urbano;País Vasco;Araba/Álava;4,63;5647;4,41
Activo Urbano;País Vasco;Bizkaia;4,37;31958;4,31
Activo Urbano;País Vasco;Gipuzkoa;4,6;30113;4,41
Activo Urbano;Principado de Asturias;Asturias;4,47;26475;4,35
Activo Urbano;Región de Murcia;Murcia;4,41;9569;4,2
Comida Y Bebida;Andalucía;Córdoba;4,97;16;4,29
Comida Y Bebida;Andalucía;Huelva;1,0;2;4,11
Comida Y Bebida;Castilla - La Mancha;Toledo;4,94;180;4,18
Comida Y Bebida;Castilla y León;León;4,94;231;4,21
Comida Y Bebida;Castilla y León;Segovia;5,0;3;4,07
Comida Y Bebida;Castilla y León;Valladolid;4,44;252;4,06
Comida Y Bebida;Cataluña;Girona;4,57;183;4,24
Comida Y Bebida;Cataluña;Lleida;4,81;19;4,27
Comida Y Bebida;Comunidad de Madrid;Madrid;4,71;5856;4,1
Comida Y Bebida;Comunitat Valenciana;Alicante/Alacant;4,52;760;4,28
Comida Y Bebida;Extremadura;Cáceres;4,5;6;4,33
Comida Y Bebida;Galicia;A Coruña;4,21;75;4,21
Comida Y Bebida;Galicia;Lugo;4,4;10;4,28
Comida Y Bebida;Galicia;Pontevedra;4,41;237;4,17
Comida Y Bebida;La Rioja;La Rioja;4,62;110;4,31
Comida Y Bebida;País Vasco;Bizkaia;4,31;319;4,31
Comida Y Bebida;Principado de Asturias;Asturias;4,33;124;4,35
Comida Y Bebida;Región de Murcia;Murcia;3,99;320;4,2
Comida y Bebida;Andalucía;Almería;5,0;6;4,19
Comida y Bebida;Andalucía;Cádiz;4,57;47;4,26
Comida y Bebida;Andalucía;Granada;4,81;771;4,37
Comida y Bebida;Andalucía;Jaén;5,0;9;4,33
Comida y Bebida;Andalucía;Málaga;4,84;1395;4,43
Comida y Bebida;Andalucía;Sevilla;4,76;8170;4,34
Comida y Bebida;Aragón;Huesca;4,6;40;4,25
Comida y Bebida;Aragón;Zaragoza;4,03;35;4,21
Comida y Bebida;Canarias;Las Palmas;3,71;443;4,28
Comida y Bebida;Canarias;Santa Cruz de Tenerife;4,31;72;4,26
Comida y Bebida;Cantabria;Cantabria;4,65;26;4,27
Comida y Bebida;Castilla - La Mancha;Albacete;4,88;33;4,15
Comida y Bebida;Castilla - La Mancha;Ciudad Real;5,0;41;4,29
