CATEGORIA;CCAA;PROVINCIA;VALORACION_POR_CATEGORIA;TOTAL_OPINIONES_CATEGORIA;VALORACION_GENERAL
Servicios;Comunidad de Madrid;Madrid;3,92;42370;4,1
Servicios;Comunitat Valenciana;Alicante/Alacant;3,73;29657;4,28
Servicios;Comunitat Valenciana;Castellón/Castelló;4,44;373;4,2
Servicios;Comunitat Valenciana;Valencia/València;4,56;7124;4,15
Servicios;Extremadura;Cáceres;4,99;60;4,33
Servicios;Galicia;A Coruña;4,04;605;4,21
Servicios;Galicia;Lugo;4,19;560;4,28
Servicios;Galicia;Ourense;3,34;37;4,15
Servicios;Galicia;Pontevedra;4,14;1424;4,17
Servicios;Illes Balears;Illes Balears;4,23;46354;4,33
Servicios;La Rioja;La Rioja;4,81;10;4,31
Servicios;País Vasco;Araba/Álava;5,0;18;4,41
Servicios;País Vasco;Bizkaia;4,03;13509;4,31
Servicios;País Vasco;Gipuzkoa;3,84;140;4,41
Servicios;Principado de Asturias;Asturias;3,91;2389;4,35
Servicios;Región de Murcia;Murcia;2,83;6;4,2
Vida Nocturna;Andalucía;Almería;3,72;5362;4,19
Vida Nocturna;Andalucía;Cádiz;4,08;2343;4,26
Vida Nocturna;Andalucía;Córdoba;4,3;1908;4,29
Vida Nocturna;Andalucía;Granada;3,92;10900;4,37
Vida Nocturna;Andalucía;Huelva;4,03;1623;4,11
Vida Nocturna;Andalucía;Jaén;4,0;992;4,33
Vida Nocturna;Andalucía;Málaga;4,3;56036;4,43
Vida Nocturna;Andalucía;Sevilla;4,05;39053;4,34
Vida Nocturna;Aragón;Huesca;3,85;1293;4,25
Vida Nocturna;Aragón;Teruel;4,35;950;4,28
Vida Nocturna;Aragón;Zaragoza;3,75;1614;4,21
Vida Nocturna;Canarias;Las Palmas;4,24;129544;4,28
Vida Nocturna;Canarias;Santa Cruz de Tenerife;4,06;62671;4,26
Vida Nocturna;Cantabria;Cantabria;4,02;5819;4,27
Vida Nocturna;Castilla - La Mancha;Albacete;4,21;573;4,15
Vida Nocturna;Castilla - La Mancha;Ciudad Real;4,17;385;4,29
Vida Nocturna;Castilla - La Mancha;Cuenca;3,91;760;4,19
Vida Nocturna;Castilla - La Mancha;Guadalajara;3,23;447;4,04
Vida Nocturna;Castilla - La Mancha;Toledo;3,99;434;4,18
Vida Nocturna;Castilla y León;Burgos;3,95;970;4,28
Vida Nocturna;Castilla y León;León;3,97;1480;4,21
Vida Nocturna;Castilla y León;Palencia;4,23;379;4,35
Vida Nocturna;Castilla y León;Salamanca;3,66;3701;4,17
Vida Nocturna;Castilla y León;Segovia;3,91;263;4,07
Vida Nocturna;Castilla y León;Soria;4,2;154;3,97
Vida Nocturna;Castilla y León;Valladolid;4,01;1293;4,06
Vida Nocturna;Castilla y León;Zamora;4,27;462;4,17
Vida Nocturna;Castilla y León;Ávila;4,04;397;4,23
Vida Nocturna;Cataluña;Barcelona;3,95;119743;4,05
Vida Nocturna;Cataluña;Girona;3,8;12856;4,24
Vida Nocturna;Cataluña;Lleida;3,84;1184;4,27
Vida Nocturna;Cataluña;Tarragona;4,1;22730;4,2
Vida Nocturna;Comunidad Foral de Navarra;Navarra;3,72;2565;4,23
Vida Nocturna;Comunidad de Madrid;Madrid;3,85;100430;4,1
Vida Nocturna;Comunitat Valenciana;Alicante/Alacant;4,03;84389;4,28
Vida Nocturna;Comunitat Valenciana;Castellón/Castelló;3,88;2406;4,2
Vida Nocturna;Comunitat Valenciana;Valencia/València;3,72;9307;4,15
Vida Nocturna;Extremadura;Badajoz;4,31;2109;4,29
Vida Nocturna;Extremadura;Cáceres;3,95;1377;4,33
Vida Nocturna;Galicia;A Coruña;3,74;5653;4,21
Vida Nocturna;Galicia;Lugo;4,18;502;4,28
Vida Nocturna;Galicia;Ourense;3,7;660;4,15
Vida Nocturna;Galicia;Pontevedra;4,0;3092;4,17
Vida Nocturna;Illes Balears;Illes Balears;4,12;122452;4,33
Vida Nocturna;La Rioja;La Rioja;3,69;1866;4,31
Vida Nocturna;País Vasco;Araba/Álava;3,82;1138;4,41
Vida Nocturna;País Vasco;Bizkaia;4,21;5615;4,31
Vida Nocturna;País Vasco;Gipuzkoa;4,14;5503;4,41
Vida Nocturna;Principado de Asturias;Asturias;4,18;9626;4,35
Vida Nocturna;Región de Murcia;Murcia;3,62;1488;4,2
