Modelo,Mejor alpha,CV_R2,MAE_test,RMSE_test,R2_test
Ridge,100.0,0.7149513049846487,0.03884669940646403,0.051295874183866594,0.8158810273648336
Lasso,0.1,0.7186938079115277,0.040226388939438515,0.05226808265507673,0.8088356913967591
