mes,categoria_alojamiento,periodo_antelacion,valoraciones_norm,tiene_valoraciones,tipo_dia,precio
9,hotel 3 estrellas,1 semana,3.5605,True,semana,109.33
9,hotel 3 estrellas,2 semanas,3.5605,True,semana,104.33
9,hotel 3 estrellas,3 meses,3.5605,True,semana,102.33
9,hotel 4 estrellas,1 mes,2.527,True,semana,108.67
9,hotel 4 estrellas,1 semana,2.527,True,semana,117.67
9,hotel 4 estrellas,2 semanas,2.527,True,semana,115.0
9,hotel 4 estrellas,3 meses,2.527,True,semana,109.67
9,hotel 5 estrellas,1 mes,3.2155,True,semana,175.67
9,hotel 5 estrellas,1 semana,3.2155,True,semana,188.33
9,hotel 5 estrellas,2 semanas,3.2155,True,semana,178.33
9,hotel 5 estrellas,3 meses,3.2155,True,semana,163.33
10,hotel 3 estrellas,1 mes,3.883,True,semana,86.33
10,hotel 3 estrellas,1 semana,3.883,True,semana,80.67
10,hotel 3 estrellas,2 semanas,3.883,True,semana,83.67
10,hotel 3 estrellas,3 meses,3.883,True,semana,85.67
10,hotel 4 estrellas,1 mes,3.442,True,semana,85.33
10,hotel 4 estrellas,1 semana,3.442,True,semana,78.67
10,hotel 4 estrellas,2 semanas,3.442,True,semana,84.33
10,hotel 4 estrellas,3 meses,3.442,True,semana,82.0
10,hotel 5 estrellas,1 mes,2.3145,True,semana,149.33
10,hotel 5 estrellas,1 semana,2.3145,True,semana,136.0
10,hotel 5 estrellas,2 semanas,2.3145,True,semana,139.0
10,hotel 5 estrellas,3 meses,2.3145,True,semana,138.33
11,hotel 3 estrellas,1 mes,3.208,True,semana,69.67
11,hotel 3 estrellas,1 semana,3.208,True,semana,69.33
11,hotel 3 estrellas,2 semanas,3.208,True,semana,69.67
11,hotel 3 estrellas,3 meses,3.208,True,semana,76.0
11,hotel 4 estrellas,1 mes,3.5424999999999995,True,semana,77.0
11,hotel 4 estrellas,1 semana,3.5424999999999995,True,semana,80.33
11,hotel 4 estrellas,2 semanas,3.5424999999999995,True,semana,77.0
11,hotel 4 estrellas,3 meses,3.5424999999999995,True,semana,77.33
11,hotel 5 estrellas,1 mes,4.0295000000000005,True,semana,78.67
11,hotel 5 estrellas,1 semana,4.0295000000000005,True,semana,74.33
11,hotel 5 estrellas,2 semanas,4.0295000000000005,True,semana,75.67
11,hotel 5 estrellas,3 meses,4.0295000000000005,True,semana,77.0
12,hotel 3 estrellas,1 mes,4.0095,True,semana,75.33
12,hotel 3 estrellas,1 semana,4.0095,True,semana,75.33
12,hotel 3 estrellas,2 semanas,4.0095,True,semana,76.67
12,hotel 3 estrellas,3 meses,4.0095,True,semana,81.67
12,hotel 4 estrellas,1 mes,3.415,True,semana,79.0
12,hotel 4 estrellas,1 semana,3.415,True,semana,80.0
12,hotel 4 estrellas,2 semanas,3.415,True,semana,80.33
12,hotel 4 estrellas,3 meses,3.415,True,semana,81.0
12,hotel 5 estrellas,1 mes,3.802000000000001,True,semana,81.33
12,hotel 5 estrellas,1 semana,3.802000000000001,True,semana,75.67
12,hotel 5 estrellas,2 semanas,3.802000000000001,True,semana,77.67
12,hotel 5 estrellas,3 meses,3.802000000000001,True,semana,79.0
1,hotel 3 estrellas,1 mes,3.72,True,semana,67.33
1,hotel 3 estrellas,1 semana,3.72,True,semana,67.0
1,hotel 3 estrellas,2 semanas,3.72,True,semana,66.33
1,hotel 3 estrellas,3 meses,3.72,True,semana,70.0
1,hotel 4 estrellas,1 mes,3.511,True,semana,75.33
1,hotel 4 estrellas,1 semana,3.511,True,semana,74.0
1,hotel 4 estrellas,2 semanas,3.511,True,semana,75.0
1,hotel 4 estrellas,3 meses,3.511,True,semana,75.67
1,hotel 5 estrellas,1 mes,3.969,True,semana,166.0
1,hotel 5 estrellas,1 semana,3.969,True,semana,181.0
1,hotel 5 estrellas,2 semanas,3.969,True,semana,179.67
1,hotel 5 estrellas,3 meses,3.969,True,semana,169.33
2,hotel 3 estrellas,1 mes,3.566,True,semana,70.33
2,hotel 3 estrellas,1 semana,3.566,True,semana,70.67
2,hotel 3 estrellas,2 semanas,3.566,True,semana,70.67
2,hotel 3 estrellas,3 meses,3.566,True,semana,70.67
2,hotel 4 estrellas,1 mes,3.582,True,semana,81.33
2,hotel 4 estrellas,1 semana,3.582,True,semana,84.67
2,hotel 4 estrellas,2 semanas,3.582,True,semana,83.0
2,hotel 4 estrellas,3 meses,3.582,True,semana,81.33
2,hotel 5 estrellas,1 mes,3.8165,True,semana,157.33
2,hotel 5 estrellas,1 semana,3.8165,True,semana,178.67
2,hotel 5 estrellas,2 semanas,3.8165,True,semana,178.33
2,hotel 5 estrellas,3 meses,3.8165,True,semana,158.33
3,hotel 3 estrellas,1 mes,3.871,True,semana,74.33
3,hotel 3 estrellas,1 semana,3.871,True,semana,73.0
3,hotel 3 estrellas,2 semanas,3.871,True,semana,73.67
3,hotel 3 estrellas,3 meses,3.871,True,semana,73.67
3,hotel 4 estrellas,1 mes,3.805,True,semana,87.0
3,hotel 4 estrellas,1 semana,3.805,True,semana,87.67
3,hotel 4 estrellas,2 semanas,3.805,True,semana,87.0
3,hotel 4 estrellas,3 meses,3.805,True,semana,85.33
3,hotel 5 estrellas,1 mes,4.191,True,semana,167.0
3,hotel 5 estrellas,1 semana,4.191,True,semana,170.0
3,hotel 5 estrellas,2 semanas,4.191,True,semana,180.33
3,hotel 5 estrellas,3 meses,4.191,True,semana,162.33
4,hotel 3 estrellas,1 mes,3.791,True,semana,81.67
4,hotel 3 estrellas,1 semana,3.791,True,semana,80.0
4,hotel 3 estrellas,2 semanas,3.791,True,semana,80.33
4,hotel 3 estrellas,3 meses,3.791,True,semana,81.0
4,hotel 4 estrellas,1 mes,3.883,True,semana,95.67
4,hotel 4 estrellas,1 semana,3.883,True,semana,94.33
4,hotel 4 estrellas,2 semanas,3.883,True,semana,94.67
4,hotel 4 estrellas,3 meses,3.883,True,semana,94.33
4,hotel 5 estrellas,1 mes,4.1665,True,semana,180.67
4,hotel 5 estrellas,1 semana,4.1665,True,semana,183.33
4,hotel 5 estrellas,2 semanas,4.1665,True,semana,180.67
4,hotel 5 estrellas,3 meses,4.1665,True,semana,169.67
5,hotel 3 estrellas,1 mes,3.782,True,semana,83.67
5,hotel 3 estrellas,1 semana,3.782,True,semana,82.67
5,hotel 3 estrellas,2 semanas,3.782,True,semana,82.67
5,hotel 3 estrellas,3 meses,3.782,True,semana,83.33
5,hotel 4 estrellas,1 mes,3.7955,True,semana,100.33
5,hotel 4 estrellas,1 semana,3.7955,True,semana,98.33
5,hotel 4 estrellas,2 semanas,3.7955,True,semana,99.0
5,hotel 4 estrellas,3 meses,3.7955,True,semana,102.0
5,hotel 5 estrellas,1 mes,4.475,True,semana,187.33
5,hotel 5 estrellas,1 semana,4.475,True,semana,200.0
5,hotel 5 estrellas,2 semanas,4.475,True,semana,194.67
5,hotel 5 estrellas,3 meses,4.475,True,semana,194.33
6,hotel 3 estrellas,1 mes,3.758,True,semana,95.33
6,hotel 3 estrellas,1 semana,3.758,True,semana,94.0
6,hotel 3 estrellas,2 semanas,3.758,True,semana,94.67
6,hotel 3 estrellas,3 meses,3.758,True,semana,95.33
6,hotel 4 estrellas,1 mes,3.72,True,semana,118.33
6,hotel 4 estrellas,1 semana,3.72,True,semana,121.67
6,hotel 4 estrellas,2 semanas,3.72,True,semana,120.33
6,hotel 4 estrellas,3 meses,3.72,True,semana,117.67
6,hotel 5 estrellas,1 mes,4.501,True,semana,220.0
6,hotel 5 estrellas,1 semana,4.501,True,semana,240.0
6,hotel 5 estrellas,2 semanas,4.501,True,semana,228.67
6,hotel 5 estrellas,3 meses,4.501,True,semana,220.67
7,hotel 3 estrellas,1 mes,3.6855,True,semana,121.0
7,hotel 3 estrellas,1 semana,3.6855,True,semana,119.67
7,hotel 3 estrellas,2 semanas,3.6855,True,semana,121.33
7,hotel 3 estrellas,3 meses,3.6855,True,semana,119.67
7,hotel 4 estrellas,1 mes,3.5535,True,semana,151.33
7,hotel 4 estrellas,1 semana,3.5535,True,semana,152.0
7,hotel 4 estrellas,2 semanas,3.5535,True,semana,152.67
7,hotel 4 estrellas,3 meses,3.5535,True,semana,146.67
7,hotel 5 estrellas,1 mes,4.0445,True,semana,267.33
7,hotel 5 estrellas,1 semana,4.0445,True,semana,315.67
7,hotel 5 estrellas,2 semanas,4.0445,True,semana,291.33
7,hotel 5 estrellas,3 meses,4.0445,True,semana,218.67
8,hotel 3 estrellas,1 mes,3.168,True,semana,130.33
8,hotel 3 estrellas,1 semana,3.168,True,semana,129.33
8,hotel 3 estrellas,2 semanas,3.168,True,semana,129.67
8,hotel 3 estrellas,3 meses,3.168,True,semana,129.67
8,hotel 4 estrellas,1 mes,2.938,True,semana,165.0
8,hotel 4 estrellas,1 semana,2.938,True,semana,161.67
8,hotel 4 estrellas,2 semanas,2.938,True,semana,163.33
8,hotel 4 estrellas,3 meses,2.938,True,semana,166.0
8,hotel 5 estrellas,1 mes,3.961,True,semana,283.67
8,hotel 5 estrellas,1 semana,3.961,True,semana,303.0
8,hotel 5 estrellas,2 semanas,3.961,True,semana,321.0
8,hotel 5 estrellas,3 meses,3.961,True,semana,234.33
9,hotel 3 estrellas,1 mes,3.5225,True,semana,96.67
9,hotel 3 estrellas,1 semana,3.5225,True,semana,100.67
9,hotel 3 estrellas,2 semanas,3.5225,True,semana,98.67
9,hotel 3 estrellas,3 meses,3.5225,True,semana,97.67
9,hotel 4 estrellas,1 mes,3.5340000000000003,True,semana,122.0
9,hotel 4 estrellas,1 semana,3.5340000000000003,True,semana,126.0
9,hotel 4 estrellas,2 semanas,3.5340000000000003,True,semana,123.67
9,hotel 4 estrellas,3 meses,3.5340000000000003,True,semana,124.0
9,hotel 5 estrellas,1 mes,4.103,True,semana,249.33
9,hotel 5 estrellas,1 semana,4.103,True,semana,265.0
9,hotel 5 estrellas,2 semanas,4.103,True,semana,263.67
9,hotel 5 estrellas,3 meses,4.103,True,semana,240.0
10,hotel 3 estrellas,1 mes,3.7045,True,semana,82.33
10,hotel 3 estrellas,1 semana,3.7045,True,semana,76.0
10,hotel 3 estrellas,2 semanas,3.7045,True,semana,79.67
10,hotel 3 estrellas,3 meses,3.7045,True,semana,80.0
10,hotel 4 estrellas,1 mes,3.805,True,semana,96.67
10,hotel 4 estrellas,1 semana,3.805,True,semana,90.0
10,hotel 4 estrellas,2 semanas,3.805,True,semana,92.33
10,hotel 4 estrellas,3 meses,3.805,True,semana,93.33
10,hotel 5 estrellas,1 mes,4.282500000000001,True,semana,203.0
10,hotel 5 estrellas,1 semana,4.282500000000001,True,semana,193.67
10,hotel 5 estrellas,2 semanas,4.282500000000001,True,semana,203.0
10,hotel 5 estrellas,3 meses,4.282500000000001,True,semana,182.33
11,hotel 3 estrellas,1 mes,3.6905,True,semana,68.33
11,hotel 3 estrellas,1 semana,3.6905,True,semana,68.33
11,hotel 3 estrellas,2 semanas,3.6905,True,semana,68.33
11,hotel 3 estrellas,3 meses,3.6905,True,semana,71.0
11,hotel 4 estrellas,1 mes,3.831,True,semana,76.67
11,hotel 4 estrellas,1 semana,3.831,True,semana,77.0
11,hotel 4 estrellas,2 semanas,3.831,True,semana,76.33
11,hotel 4 estrellas,3 meses,3.831,True,semana,79.0
11,hotel 5 estrellas,1 mes,4.474,True,semana,160.33
11,hotel 5 estrellas,1 semana,4.474,True,semana,176.67
11,hotel 5 estrellas,2 semanas,4.474,True,semana,175.0
11,hotel 5 estrellas,3 meses,4.474,True,semana,168.0
12,hotel 3 estrellas,1 mes,3.4240000000000004,True,semana,71.33
12,hotel 3 estrellas,1 semana,3.4240000000000004,True,semana,70.33
12,hotel 3 estrellas,2 semanas,3.4240000000000004,True,semana,72.0
12,hotel 3 estrellas,3 meses,3.4240000000000004,True,semana,75.0
12,hotel 4 estrellas,1 mes,3.6505,True,semana,79.0
12,hotel 4 estrellas,1 semana,3.6505,True,semana,79.67
12,hotel 4 estrellas,2 semanas,3.6505,True,semana,80.67
12,hotel 4 estrellas,3 meses,3.6505,True,semana,83.0
12,hotel 5 estrellas,1 mes,4.176,True,semana,161.0
12,hotel 5 estrellas,1 semana,4.176,True,semana,169.33
12,hotel 5 estrellas,2 semanas,4.176,True,semana,173.33
12,hotel 5 estrellas,3 meses,4.176,True,semana,173.33
1,hotel 3 estrellas,1 mes,4.115,True,semana,66.67
1,hotel 3 estrellas,1 semana,4.115,True,semana,65.33
1,hotel 3 estrellas,2 semanas,4.115,True,semana,65.33
1,hotel 3 estrellas,3 meses,4.115,True,semana,69.33
1,hotel 4 estrellas,1 mes,4.111,True,semana,82.67
1,hotel 4 estrellas,1 semana,4.111,True,semana,86.33
1,hotel 4 estrellas,2 semanas,4.111,True,semana,82.0
1,hotel 4 estrellas,3 meses,4.111,True,semana,83.33
1,hotel 5 estrellas,1 mes,3.9615,True,semana,162.33
1,hotel 5 estrellas,1 semana,3.9615,True,semana,156.33
1,hotel 5 estrellas,2 semanas,3.9615,True,semana,158.0
1,hotel 5 estrellas,3 meses,3.9615,True,semana,152.33
2,hotel 3 estrellas,1 mes,4.092499999999999,True,semana,68.67
2,hotel 3 estrellas,1 semana,4.092499999999999,True,semana,70.67
2,hotel 3 estrellas,2 semanas,4.092499999999999,True,semana,70.0
2,hotel 3 estrellas,3 meses,4.092499999999999,True,semana,68.67
2,hotel 4 estrellas,1 mes,4.0495,True,semana,85.0
2,hotel 4 estrellas,1 semana,4.0495,True,semana,89.67
2,hotel 4 estrellas,2 semanas,4.0495,True,semana,87.0
2,hotel 4 estrellas,3 meses,4.0495,True,semana,84.33
2,hotel 5 estrellas,1 mes,4.418,True,semana,150.33
2,hotel 5 estrellas,1 semana,4.418,True,semana,153.0
2,hotel 5 estrellas,2 semanas,4.418,True,semana,158.0
2,hotel 5 estrellas,3 meses,4.418,True,semana,136.0
3,hotel 3 estrellas,1 mes,4.083,True,semana,83.67
3,hotel 3 estrellas,1 semana,4.083,True,semana,83.67
3,hotel 3 estrellas,2 semanas,4.083,True,semana,84.0
3,hotel 3 estrellas,3 meses,4.083,True,semana,81.0
3,hotel 4 estrellas,1 mes,3.9905,True,semana,109.0
3,hotel 4 estrellas,1 semana,3.9905,True,semana,104.0
3,hotel 4 estrellas,2 semanas,3.9905,True,semana,108.67
