mes,categoria_alojamiento,periodo_antelacion,valoraciones_norm,tiene_valoraciones,tipo_dia,precio
1,hotel 3 estrellas,1 mes,4.203,True,semana,74.0
1,hotel 3 estrellas,1 semana,4.203,True,semana,75.0
1,hotel 3 estrellas,2 semanas,4.203,True,semana,74.0
1,hotel 3 estrellas,3 meses,4.203,True,semana,75.0
1,hotel 4 estrellas,1 mes,4.018,True,semana,72.0
1,hotel 4 estrellas,1 semana,4.018,True,semana,70.0
1,hotel 4 estrellas,2 semanas,4.018,True,semana,70.0
1,hotel 4 estrellas,3 meses,4.018,True,semana,71.0
1,hotel 5 estrellas,1 mes,3.8385,True,semana,76.0
1,hotel 5 estrellas,1 semana,3.8385,True,semana,71.0
1,hotel 5 estrellas,2 semanas,3.8385,True,semana,71.0
1,hotel 5 estrellas,3 meses,3.8385,True,semana,81.0
2,hotel 3 estrellas,1 mes,3.325,True,semana,71.0
2,hotel 3 estrellas,1 semana,3.325,True,semana,73.0
2,hotel 3 estrellas,2 semanas,3.325,True,semana,73.0
2,hotel 3 estrellas,3 meses,3.325,True,semana,65.0
2,hotel 4 estrellas,1 mes,3.6915,True,semana,72.0
2,hotel 4 estrellas,1 semana,3.6915,True,semana,74.0
2,hotel 4 estrellas,2 semanas,3.6915,True,semana,74.0
2,hotel 4 estrellas,3 meses,3.6915,True,semana,70.0
2,hotel 5 estrellas,1 mes,4.2655,True,semana,77.0
2,hotel 5 estrellas,1 semana,4.2655,True,semana,75.0
2,hotel 5 estrellas,2 semanas,4.2655,True,semana,75.0
2,hotel 5 estrellas,3 meses,4.2655,True,semana,84.0
3,hotel 3 estrellas,1 mes,3.918,True,semana,75.0
3,hotel 3 estrellas,1 semana,3.918,True,semana,74.0
3,hotel 3 estrellas,2 semanas,3.918,True,semana,74.0
3,hotel 3 estrellas,3 meses,3.918,True,semana,67.0
3,hotel 4 estrellas,1 mes,2.825,True,semana,71.0
3,hotel 4 estrellas,1 semana,2.825,True,semana,73.0
3,hotel 4 estrellas,2 semanas,2.825,True,semana,71.0
3,hotel 4 estrellas,3 meses,2.825,True,semana,71.0
3,hotel 5 estrellas,1 mes,4.1935,True,semana,69.0
3,hotel 5 estrellas,1 semana,4.1935,True,semana,70.0
3,hotel 5 estrellas,2 semanas,4.1935,True,semana,67.0
3,hotel 5 estrellas,3 meses,4.1935,True,semana,80.0
4,hotel 3 estrellas,1 mes,3.662,True,semana,80.0
4,hotel 3 estrellas,1 semana,3.662,True,semana,82.0
4,hotel 3 estrellas,2 semanas,3.662,True,semana,82.0
4,hotel 3 estrellas,3 meses,3.662,True,semana,83.0
