id_pais,id_provincia,provincia_nombre,mes,categoria,subcategoria,valoracion_general_promedio,total_opiniones_categoria_promedio,precio_medio_entrada_promedio,gasto_total_promedio
ES,08,barcelona,1,paisaje naturaleza,deportes y aventuras,4.05,200444,1244.89,61181.56
ES,28,madrid,1,paisaje naturaleza,deportes y aventuras,4.10,121795,384.25,39367.00
ES,31,navarra,1,paisaje naturaleza,deportes y aventuras,4.23,7007,60.00,2580.00
ES,03,alicante/alacant,1,paisaje naturaleza,deportes y aventuras,4.28,82424,340.00,2990.00
ES,06,badajoz,1,paisaje naturaleza,deportes y aventuras,4.29,1116,234.33,7705.67
ES,10,cáceres,1,paisaje naturaleza,deportes y aventuras,4.33,5814,553.50,127251.00
ES,01,araba/álava,1,paisaje naturaleza,deportes y aventuras,4.41,11468,712.50,10487.50
ES,48,bizkaia,1,paisaje naturaleza,deportes y aventuras,4.31,7925,1856.00,3712.00
ES,20,gipuzkoa,1,paisaje naturaleza,deportes y aventuras,4.41,26976,3107.00,2976506.00
ES,33,asturias,1,paisaje naturaleza,deportes y aventuras,4.35,44006,9332.00,18664.00
ES,30,murcia,1,paisaje naturaleza,deportes y aventuras,4.20,2633,152.50,6847.50
ES,04,almería,1,vida nocturna,cine,4.19,5362,615.00,1722.00
ES,18,granada,1,vida nocturna,cine,4.37,10900,538.00,7263.00
ES,29,málaga,1,vida nocturna,cine,4.43,56036,1584.00,512185.50
ES,41,sevilla,1,vida nocturna,cine,4.34,39053,483.00,58201.50
ES,50,zaragoza,1,vida nocturna,cine,4.21,1614,405.75,15531.75
ES,38,santa cruz de tenerife,1,vida nocturna,cine,4.26,62671,546.50,5095.50
ES,02,albacete,1,vida nocturna,cine,4.15,573,729.00,168777.50
ES,16,cuenca,1,vida nocturna,cine,4.19,760,49.00,49.00
ES,45,toledo,1,vida nocturna,cine,4.18,434,588.00,2352.00
ES,47,valladolid,1,vida nocturna,cine,4.06,1293,615.00,12915.00
ES,08,barcelona,1,vida nocturna,cine,4.05,119743,617.00,57537.75
ES,17,girona,1,vida nocturna,cine,4.24,12856,197.33,3335.33
ES,28,madrid,1,vida nocturna,cine,4.10,100430,1094.00,247428.00
ES,03,alicante/alacant,1,vida nocturna,cine,4.28,84389,674.25,95455.38
ES,46,valencia/valència,1,vida nocturna,cine,4.15,9307,115.00,19205.00
ES,15,a coruña,1,vida nocturna,cine,4.21,5653,1989.50,10172.50
ES,07,illes balears,1,vida nocturna,cine,4.33,122452,323.60,9830.80
ES,20,gipuzkoa,1,vida nocturna,cine,4.41,5503,360.67,45466.67
ES,30,murcia,1,vida nocturna,cine,4.20,1488,350.00,1400.00
ES,14,córdoba,1,otros,conferencias,4.29,478,200.00,57600.00
ES,29,málaga,1,otros,conferencias,4.43,1156,660.00,17820.00
ES,50,zaragoza,1,otros,conferencias,4.21,158,400.00,4800.00
ES,47,valladolid,1,otros,conferencias,4.06,83,526.00,45236.00
ES,08,barcelona,1,otros,conferencias,4.05,2019,438.00,44676.00
ES,43,tarragona,1,otros,conferencias,4.20,1769,3708.00,24102.00
ES,28,madrid,1,otros,conferencias,4.10,1624,5153.33,805701.00
ES,31,navarra,1,otros,conferencias,4.23,500,4398.00,985152.00
ES,03,alicante/alacant,1,otros,conferencias,4.28,392,502.00,6310.00
ES,15,a coruña,1,otros,conferencias,4.21,200,2714.00,23069.00
ES,07,illes balears,1,otros,conferencias,4.33,296,3015.33,164579.33
ES,48,bizkaia,1,otros,conferencias,4.31,794,50.00,2300.00
ES,04,almería,1,paisaje urbano,"cultura, teatro y danza",4.19,14318,1133.00,272842.00
ES,11,cádiz,1,paisaje urbano,"cultura, teatro y danza",4.26,8809,1824.14,58962.86
ES,14,córdoba,1,paisaje urbano,"cultura, teatro y danza",4.29,93962,916.33,83273.00
ES,18,granada,1,paisaje urbano,"cultura, teatro y danza",4.37,153042,958.40,355540.00
ES,21,huelva,1,paisaje urbano,"cultura, teatro y danza",4.11,9984,499.00,25675.00
ES,23,jaén,1,paisaje urbano,"cultura, teatro y danza",4.33,16236,981.00,1962.00
ES,29,málaga,1,paisaje urbano,"cultura, teatro y danza",4.43,158253,910.60,396290.90
ES,41,sevilla,1,paisaje urbano,"cultura, teatro y danza",4.34,218279,2330.25,1957742.75
ES,22,huesca,1,paisaje urbano,"cultura, teatro y danza",4.25,10916,520.67,42852.67
ES,50,zaragoza,1,paisaje urbano,"cultura, teatro y danza",4.21,41352,974.14,289445.43
ES,35,las palmas,1,paisaje urbano,"cultura, teatro y danza",4.28,51395,896.75,524463.44
ES,38,santa cruz de tenerife,1,paisaje urbano,"cultura, teatro y danza",4.26,66584,1024.50,302891.64
ES,39,cantabria,1,paisaje urbano,"cultura, teatro y danza",4.27,27507,1139.00,252073.00
ES,02,albacete,1,paisaje urbano,"cultura, teatro y danza",4.15,3663,674.83,156075.83
ES,13,ciudad real,1,paisaje urbano,"cultura, teatro y danza",4.29,7266,670.33,6287.33
ES,16,cuenca,1,paisaje urbano,"cultura, teatro y danza",4.19,13771,1038.50,58430.00
ES,45,toledo,1,paisaje urbano,"cultura, teatro y danza",4.18,55769,546.60,62881.40
ES,05,ávila,1,paisaje urbano,"cultura, teatro y danza",4.23,13407,50.00,350.00
ES,09,burgos,1,paisaje urbano,"cultura, teatro y danza",4.28,19776,65.00,325.00
ES,24,león,1,paisaje urbano,"cultura, teatro y danza",4.21,19169,275.00,10725.00
ES,37,salamanca,1,paisaje urbano,"cultura, teatro y danza",4.17,31972,587.40,183509.00
ES,42,soria,1,paisaje urbano,"cultura, teatro y danza",3.97,6300,165.00,7920.00
ES,47,valladolid,1,paisaje urbano,"cultura, teatro y danza",4.06,13695,904.70,185135.10
ES,49,zamora,1,paisaje urbano,"cultura, teatro y danza",4.17,5872,473.50,15708.00
ES,08,barcelona,1,paisaje urbano,"cultura, teatro y danza",4.05,732080,861.71,757733.00
ES,17,girona,1,paisaje urbano,"cultura, teatro y danza",4.24,50915,284.29,11818.29
ES,25,lleida,1,paisaje urbano,"cultura, teatro y danza",4.27,7171,492.00,3198.00
ES,43,tarragona,1,paisaje urbano,"cultura, teatro y danza",4.20,53439,1035.44,499698.44
ES,51,ceuta,1,paisaje urbano,"cultura, teatro y danza",0.00,0,2053.00,250466.00
ES,28,madrid,1,paisaje urbano,"cultura, teatro y danza",4.10,458466,645.55,1006943.09
ES,31,navarra,1,paisaje urbano,"cultura, teatro y danza",4.23,19680,757.50,44421.00
ES,03,alicante/alacant,1,paisaje urbano,"cultura, teatro y danza",4.28,67888,869.08,194916.25
ES,12,castellón/castelló,1,paisaje urbano,"cultura, teatro y danza",4.20,13212,30.00,720.00
ES,46,valencia/valència,1,paisaje urbano,"cultura, teatro y danza",4.15,114505,1157.43,349713.43
ES,06,badajoz,1,paisaje urbano,"cultura, teatro y danza",4.29,18348,717.67,248707.00
ES,10,cáceres,1,paisaje urbano,"cultura, teatro y danza",4.33,23514,1025.00,55348.80
ES,15,a coruña,1,paisaje urbano,"cultura, teatro y danza",4.21,50198,568.00,100019.50
ES,27,lugo,1,paisaje urbano,"cultura, teatro y danza",4.28,8872,1633.00,9798.00
ES,32,ourense,1,paisaje urbano,"cultura, teatro y danza",4.15,6495,220.00,660.00
ES,36,pontevedra,1,paisaje urbano,"cultura, teatro y danza",4.17,15892,420.50,129286.50
ES,07,illes balears,1,paisaje urbano,"cultura, teatro y danza",4.33,107418,761.17,166908.97
ES,26,la rioja,1,paisaje urbano,"cultura, teatro y danza",4.31,11493,758.33,316613.67
ES,01,araba/álava,1,paisaje urbano,"cultura, teatro y danza",4.41,7811,526.17,81579.50
ES,48,bizkaia,1,paisaje urbano,"cultura, teatro y danza",4.31,56425,1194.14,250402.71
ES,20,gipuzkoa,1,paisaje urbano,"cultura, teatro y danza",4.41,26949,637.00,191089.40
ES,33,asturias,1,paisaje urbano,"cultura, teatro y danza",4.35,40762,972.25,49605.00
ES,30,murcia,1,paisaje urbano,"cultura, teatro y danza",4.20,9308,786.20,170397.00
ES,28,madrid,1,compras,ferias,4.10,89796,2564.00,299988.00
ES,03,alicante/alacant,1,compras,ferias,4.28,12577,904.00,4520.00
ES,07,illes balears,1,compras,ferias,4.33,22175,1916.00,387032.00
ES,48,bizkaia,1,compras,ferias,4.31,694,50.00,2300.00
ES,21,huelva,1,paisaje urbano,museo y exposiciones,4.11,9984,499.00,25675.00
ES,41,sevilla,1,paisaje urbano,museo y exposiciones,4.34,218279,902.75,61913.75
ES,02,albacete,1,paisaje urbano,museo y exposiciones,4.15,3663,709.00,9926.00
ES,45,toledo,1,paisaje urbano,museo y exposiciones,4.18,55769,677.00,50307.00
ES,08,barcelona,1,paisaje urbano,museo y exposiciones,4.05,732080,1336.50,77149.00
ES,43,tarragona,1,paisaje urbano,museo y exposiciones,4.20,53439,1940.50,47249.50
ES,28,madrid,1,paisaje urbano,museo y exposiciones,4.10,458466,917.50,14897.50
ES,46,valencia/valència,1,paisaje urbano,museo y exposiciones,4.15,114505,690.33,11618.33
ES,07,illes balears,1,paisaje urbano,museo y exposiciones,4.33,107418,1071.00,16065.00
ES,48,bizkaia,1,paisaje urbano,museo y exposiciones,4.31,56425,1020.00,208108.50
ES,04,almería,1,vida nocturna,musica,4.19,5362,1628.00,288480.00
ES,11,cádiz,1,vida nocturna,musica,4.26,2343,1057.58,206606.33
ES,14,córdoba,1,vida nocturna,musica,4.29,1908,910.50,280517.50
ES,18,granada,1,vida nocturna,musica,4.37,10900,996.38,549542.69
ES,21,huelva,1,vida nocturna,musica,4.11,1623,112.50,2162.50
ES,23,jaén,1,vida nocturna,musica,4.33,992,754.00,68462.00
ES,29,málaga,1,vida nocturna,musica,4.43,56036,1414.33,344005.42
