Modelo,MAE,RMSE,R2
Regresión Lineal,0.0337953032487991,0.04018216775517182,0.8645493288899202
Gradient Boosting,0.048831852531130655,0.06270279390999836,0.6701714683515692
Random Forest,0.051778047436199924,0.06442489622851116,0.6518055121709132
