id_provincia,mes,categoria,precio_mediano_n1
5,7,paisaje naturaleza,4366.0
5,7,paisaje urbano,1267.0
5,7,vida nocturna,1433.5
5,8,paisaje naturaleza,325.0
5,8,paisaje urbano,1269.0
5,8,vida nocturna,454.5
5,9,paisaje naturaleza,4312.0
5,9,vida nocturna,1587.0
5,10,paisaje naturaleza,1891.0
5,10,paisaje urbano,100.0
5,10,vida nocturna,1484.33
5,11,otros,7745.0
5,11,paisaje naturaleza,1450.5
5,11,paisaje urbano,1007.0
5,11,vida nocturna,994.5
5,12,otros,7745.0
5,12,paisaje naturaleza,2157.0
6,1,paisaje naturaleza,153.33
6,1,paisaje urbano,717.67
6,1,servicios,709.0
6,1,vida nocturna,1186.585
6,2,comida y bebida,40.0
6,2,paisaje naturaleza,187.5
6,2,paisaje urbano,175.62
6,2,vida nocturna,181.33
6,3,comida y bebida,40.0
6,3,paisaje naturaleza,491.71
6,3,vida nocturna,674.105
6,4,paisaje naturaleza,424.1
6,4,paisaje urbano,388.17
6,4,vida nocturna,1069.5
6,5,paisaje naturaleza,425.5
6,5,paisaje urbano,110.25
6,5,vida nocturna,516.75
6,6,paisaje naturaleza,2347.9
6,6,paisaje urbano,1479.0
6,6,vida nocturna,928.335
6,7,paisaje naturaleza,970.17
6,7,paisaje urbano,1220.71
6,7,vida nocturna,792.215
6,8,comida y bebida,80.0
6,8,paisaje naturaleza,759.78
6,8,paisaje urbano,797.67
6,8,vida nocturna,1134.09
6,9,paisaje naturaleza,318.21500000000003
6,9,paisaje urbano,270.56
6,9,vida nocturna,600.345
6,10,comida y bebida,80.0
6,10,paisaje naturaleza,491.57
6,10,vida nocturna,919.655
6,11,comida y bebida,102.5
6,11,paisaje naturaleza,850.25
6,11,paisaje urbano,587.7
6,11,vida nocturna,807.86
6,12,paisaje naturaleza,794.62
6,12,vida nocturna,1022.6600000000001
7,1,otros,3015.33
7,1,paisaje urbano,761.17
7,1,vida nocturna,1062.4
7,2,comida y bebida,2241.17
7,2,compras,250.0
7,2,otros,1983.5
7,2,paisaje naturaleza,1237.65
7,2,paisaje urbano,884.615
7,2,servicios,6330.67
7,2,vida nocturna,676.06
7,3,comida y bebida,1647.17
7,3,compras,2514.0
7,3,otros,1510.0
7,3,paisaje naturaleza,1656.225
7,3,paisaje urbano,707.935
7,3,servicios,2772.38
7,3,vida nocturna,1016.33
7,4,comida y bebida,2197.0
7,4,otros,2126.0
7,4,paisaje naturaleza,2207.67
7,4,paisaje urbano,820.25
7,4,servicios,2421.42
7,4,vida nocturna,585.625
7,5,comida y bebida,2674.73
7,5,otros,1187.5
7,5,paisaje naturaleza,1225.4
7,5,paisaje urbano,735.95
7,5,servicios,2189.0
7,5,vida nocturna,1271.6950000000002
7,6,comida y bebida,2710.75
7,6,otros,4002.0
7,6,paisaje naturaleza,1143.57
7,6,paisaje urbano,828.0
7,6,servicios,1732.5
7,6,vida nocturna,1275.5
7,7,comida y bebida,2286.0
7,7,compras,1150.0
7,7,otros,1842.25
7,7,paisaje naturaleza,1140.875
7,7,paisaje urbano,758.665
7,7,servicios,1277.0
7,7,vida nocturna,1697.71
7,8,comida y bebida,1473.46
7,8,compras,1150.0
7,8,otros,1151.5
7,8,paisaje naturaleza,1279.0
7,8,paisaje urbano,743.87
7,8,servicios,1321.0
7,8,vida nocturna,1687.41
7,9,comida y bebida,1928.55
7,9,compras,1637.0
7,9,otros,5216.33
7,9,paisaje naturaleza,1215.475
7,9,paisaje urbano,518.0
7,9,servicios,2314.85
7,9,vida nocturna,972.08
7,10,comida y bebida,2536.6
7,10,compras,250.0
7,10,otros,1161.5
7,10,paisaje naturaleza,1558.645
7,10,paisaje urbano,991.35
7,10,servicios,2983.87
7,10,vida nocturna,1349.385
7,11,comida y bebida,3154.0
7,11,paisaje naturaleza,1280.265
7,11,servicios,2537.31
7,11,vida nocturna,586.78
7,12,comida y bebida,3088.8
7,12,compras,150.0
7,12,paisaje urbano,908.1800000000001
7,12,servicios,1997.29
7,12,vida nocturna,576.895
8,1,comida y bebida,1794.2
8,1,otros,438.0
8,1,paisaje naturaleza,1316.245
8,1,paisaje urbano,861.71
8,1,servicios,3649.0
8,1,vida nocturna,682.5
8,2,comida y bebida,1207.71
8,2,paisaje naturaleza,1513.09
8,2,paisaje urbano,714.3399999999999
8,2,servicios,1429.56
8,2,vida nocturna,790.125
8,3,comida y bebida,1544.6
8,3,compras,252.0
8,3,otros,245.5
8,3,paisaje naturaleza,1976.27
8,3,paisaje urbano,803.045
8,3,servicios,3013.64
8,3,vida nocturna,704.0450000000001
8,4,comida y bebida,2031.0
8,4,paisaje naturaleza,1915.03
8,4,paisaje urbano,1166.0
8,4,servicios,3205.09
8,4,vida nocturna,1139.89
8,5,comida y bebida,1867.75
8,5,compras,3922.0
8,5,otros,2450.67
8,5,paisaje naturaleza,1049.07
8,5,paisaje urbano,829.64
8,5,servicios,2143.64
8,5,vida nocturna,860.7
8,6,otros,947.33
8,6,paisaje naturaleza,810.655
8,6,paisaje urbano,1375.2
8,6,servicios,1879.0
8,6,vida nocturna,1135.3600000000001
8,7,comida y bebida,1068.91
8,7,otros,5418.2
8,7,paisaje naturaleza,1049.02
8,7,paisaje urbano,869.6600000000001
8,7,servicios,2734.88
8,7,vida nocturna,1251.345
8,8,comida y bebida,1434.5
8,8,compras,13982.0
8,8,otros,11151.0
8,8,paisaje naturaleza,1294.215
8,8,paisaje urbano,796.375
8,8,servicios,3618.0
8,8,vida nocturna,1136.35
8,9,comida y bebida,624.12
8,9,otros,7365.8
8,9,paisaje naturaleza,1186.2
8,9,paisaje urbano,965.895
8,9,servicios,3055.75
8,9,vida nocturna,1031.92
8,10,comida y bebida,1160.62
8,10,otros,2599.62
8,10,paisaje naturaleza,1252.5
8,10,paisaje urbano,1147.25
8,10,servicios,2195.22
8,10,vida nocturna,794.17
8,11,compras,1295.0
8,11,otros,3067.57
8,11,paisaje naturaleza,1781.0549999999998
8,11,paisaje urbano,782.43
8,11,vida nocturna,802.46
8,12,otros,3624.5
8,12,paisaje naturaleza,2079.23
