mes,empresa,tipo_de_servicio,tipo_de_producto,origen,destino,precio
2023-06,renfe-ave,comercial,ld av,madrid,alicante/alacant,58.33
2023-06,renfe-ave,comercial,ld av,madrid,barcelona,65.33
2023-06,renfe-ave,comercial,ld av,madrid,malaga,70.65
2023-06,renfe-ave,comercial,ld av,madrid,sevilla,71.61
2023-06,renfe-ave,comercial,ld av,madrid,valencia/valencia,464.0
2023-06,renfe-avlo,comercial,ld av,madrid,alicante/alacant,28.56
2023-06,renfe-avlo,comercial,ld av,madrid,barcelona,46.47
2023-06,renfe-avlo,comercial,ld av,madrid,malaga,57.68
2023-06,renfe-avlo,comercial,ld av,madrid,sevilla,444.0
2023-06,renfe-avlo,comercial,ld av,madrid,valencia/valencia,25.06
2023-07,iryo,comercial,ld av,madrid,alicante/alacant,34.65
2023-07,iryo,comercial,ld av,madrid,barcelona,49.75
2023-07,iryo,comercial,ld av,madrid,malaga,56.95
2023-07,iryo,comercial,ld av,madrid,sevilla,49.72
2023-07,iryo,comercial,ld av,madrid,valencia/valencia,28.39
2023-07,ouigo,comercial,ld av,madrid,alicante/alacant,27.21
2023-07,ouigo,comercial,ld av,madrid,barcelona,44.41
2023-07,ouigo,comercial,ld av,madrid,valencia/valencia,23.21
2023-07,renfe-ave,comercial,ld av,madrid,alicante/alacant,60.48
2023-07,renfe-ave,comercial,ld av,madrid,barcelona,62.22
2023-07,renfe-ave,comercial,ld av,madrid,malaga,70.41
2023-07,renfe-ave,comercial,ld av,madrid,sevilla,617.0
2023-07,renfe-ave,comercial,ld av,madrid,valencia/valencia,44.21
2023-07,renfe-avlo,comercial,ld av,madrid,alicante/alacant,32.62
2023-07,renfe-avlo,comercial,ld av,madrid,barcelona,46.19
2023-07,renfe-avlo,comercial,ld av,madrid,malaga,588.0
2023-07,renfe-avlo,comercial,ld av,madrid,sevilla,385.0
2023-07,renfe-avlo,comercial,ld av,madrid,valencia/valencia,25.46
2023-08,iryo,comercial,ld av,madrid,alicante/alacant,28.99
2023-08,iryo,comercial,ld av,madrid,barcelona,40.62
2023-08,iryo,comercial,ld av,madrid,malaga,52.65
2023-08,iryo,comercial,ld av,madrid,sevilla,38.96
2023-08,iryo,comercial,ld av,madrid,valencia/valencia,22.28
2023-08,ouigo,comercial,ld av,madrid,alicante/alacant,27.44
2023-08,ouigo,comercial,ld av,madrid,barcelona,41.75
2023-08,ouigo,comercial,ld av,madrid,valencia/valencia,22.76
2023-08,renfe-ave,comercial,ld av,madrid,alicante/alacant,57.09
2023-08,renfe-ave,comercial,ld av,madrid,barcelona,55.99
2023-08,renfe-ave,comercial,ld av,madrid,malaga,64.57
2023-08,renfe-ave,comercial,ld av,madrid,sevilla,50.49
2023-08,renfe-ave,comercial,ld av,madrid,valencia/valencia,38.81
2023-08,renfe-avlo,comercial,ld av,madrid,alicante/alacant,29.19
2023-08,renfe-avlo,comercial,ld av,madrid,barcelona,38.93
2023-08,renfe-avlo,comercial,ld av,madrid,malaga,51.95
2023-08,renfe-avlo,comercial,ld av,madrid,sevilla,29.09
2023-08,renfe-avlo,comercial,ld av,madrid,valencia/valencia,23.02
2023-09,iryo,comercial,ld av,madrid,alicante/alacant,25.42
2023-09,iryo,comercial,ld av,madrid,barcelona,39.59
2023-09,iryo,comercial,ld av,madrid,malaga,43.37
2023-09,iryo,comercial,ld av,madrid,sevilla,40.03
2023-09,iryo,comercial,ld av,madrid,valencia/valencia,19.72
2023-09,ouigo,comercial,ld av,madrid,alicante/alacant,225.0
2023-09,ouigo,comercial,ld av,madrid,barcelona,37.51
2023-09,ouigo,comercial,ld av,madrid,valencia/valencia,19.22
2023-09,renfe-ave,comercial,ld av,madrid,alicante/alacant,52.14
2023-09,renfe-ave,comercial,ld av,madrid,barcelona,68.35
2023-09,renfe-ave,comercial,ld av,madrid,malaga,51.44
2023-09,renfe-ave,comercial,ld av,madrid,sevilla,583.0
2023-09,renfe-ave,comercial,ld av,madrid,valencia/valencia,33.59
2023-09,renfe-avlo,comercial,ld av,madrid,alicante/alacant,23.54
2023-09,renfe-avlo,comercial,ld av,madrid,barcelona,40.45
2023-09,renfe-avlo,comercial,ld av,madrid,malaga,45.45
2023-09,renfe-avlo,comercial,ld av,madrid,sevilla,32.96
2023-09,renfe-avlo,comercial,ld av,madrid,valencia/valencia,18.68
2023-10,iryo,comercial,ld av,madrid,alicante/alacant,33.04
2023-10,iryo,comercial,ld av,madrid,barcelona,40.09
2023-10,iryo,comercial,ld av,madrid,malaga,40.03
2023-10,iryo,comercial,ld av,madrid,sevilla,43.54
2023-10,iryo,comercial,ld av,madrid,valencia/valencia,24.15
2023-10,ouigo,comercial,ld av,madrid,alicante/alacant,25.34
2023-10,ouigo,comercial,ld av,madrid,barcelona,37.31
2023-10,ouigo,comercial,ld av,madrid,valencia/valencia,21.66
2023-10,renfe-ave,comercial,ld av,madrid,alicante/alacant,47.51
2023-10,renfe-ave,comercial,ld av,madrid,barcelona,65.02
2023-10,renfe-ave,comercial,ld av,madrid,malaga,51.99
2023-10,renfe-ave,comercial,ld av,madrid,sevilla,59.24
2023-10,renfe-ave,comercial,ld av,madrid,valencia/valencia,35.58
2023-10,renfe-avlo,comercial,ld av,madrid,alicante/alacant,24.29
2023-10,renfe-avlo,comercial,ld av,madrid,barcelona,42.05
2023-10,renfe-avlo,comercial,ld av,madrid,malaga,40.56
2023-10,renfe-avlo,comercial,ld av,madrid,sevilla,34.15
2023-10,renfe-avlo,comercial,ld av,madrid,valencia/valencia,21.84
2023-11,iryo,comercial,ld av,madrid,alicante/alacant,32.27
2023-11,iryo,comercial,ld av,madrid,barcelona,386.0
2023-11,iryo,comercial,ld av,madrid,malaga,38.84
2023-11,iryo,comercial,ld av,madrid,sevilla,42.99
2023-11,iryo,comercial,ld av,madrid,valencia/valencia,23.85
2023-11,ouigo,comercial,ld av,madrid,alicante/alacant,21.88
2023-11,ouigo,comercial,ld av,madrid,barcelona,34.86
2023-11,ouigo,comercial,ld av,madrid,valencia/valencia,21.26
2023-11,renfe-ave,comercial,ld av,madrid,alicante/alacant,41.78
2023-11,renfe-ave,comercial,ld av,madrid,barcelona,612.0
2023-11,renfe-ave,comercial,ld av,madrid,malaga,49.37
2023-11,renfe-ave,comercial,ld av,madrid,sevilla,55.44
2023-11,renfe-ave,comercial,ld av,madrid,valencia/valencia,35.98
2023-11,renfe-avlo,comercial,ld av,madrid,alicante/alacant,22.74
2023-11,renfe-avlo,comercial,ld av,madrid,barcelona,41.19
2023-11,renfe-avlo,comercial,ld av,madrid,malaga,39.28
2023-11,renfe-avlo,comercial,ld av,madrid,sevilla,36.79
2023-11,renfe-avlo,comercial,ld av,madrid,valencia/valencia,209.0
2023-12,iryo,comercial,ld av,madrid,alicante/alacant,32.42
2023-12,iryo,comercial,ld av,madrid,barcelona,50.83
2023-12,iryo,comercial,ld av,madrid,malaga,49.35
2023-12,iryo,comercial,ld av,madrid,sevilla,52.44
2023-12,iryo,comercial,ld av,madrid,valencia/valencia,28.54
2023-12,ouigo,comercial,ld av,madrid,alicante/alacant,30.81
2023-12,ouigo,comercial,ld av,madrid,barcelona,43.13
2023-12,ouigo,comercial,ld av,madrid,valencia/valencia,25.54
2023-12,renfe-ave,comercial,ld av,madrid,alicante/alacant,46.96
2023-12,renfe-ave,comercial,ld av,madrid,barcelona,67.07
2023-12,renfe-ave,comercial,ld av,madrid,malaga,62.05
2023-12,renfe-ave,comercial,ld av,madrid,sevilla,62.53
2023-12,renfe-ave,comercial,ld av,madrid,valencia/valencia,41.39
2023-12,renfe-avlo,comercial,ld av,madrid,alicante/alacant,30.45
2023-12,renfe-avlo,comercial,ld av,madrid,barcelona,50.11
2023-12,renfe-avlo,comercial,ld av,madrid,malaga,49.79
2023-12,renfe-avlo,comercial,ld av,madrid,sevilla,43.02
2023-12,renfe-avlo,comercial,ld av,madrid,valencia/valencia,257.0
2024-01,iryo,comercial,ld av,madrid,alicante/alacant,24.41
2024-01,iryo,comercial,ld av,madrid,barcelona,36.94
2024-01,iryo,comercial,ld av,madrid,malaga,33.67
2024-01,iryo,comercial,ld av,madrid,sevilla,37.39
2024-01,iryo,comercial,ld av,madrid,valencia/valencia,19.99
2024-01,ouigo,comercial,ld av,madrid,alicante/alacant,213.0
2024-01,ouigo,comercial,ld av,madrid,barcelona,29.71
2024-01,ouigo,comercial,ld av,madrid,valencia/valencia,18.01
2024-01,renfe-ave,comercial,ld av,madrid,alicante/alacant,43.86
2024-01,renfe-ave,comercial,ld av,madrid,barcelona,54.94
2024-01,renfe-ave,comercial,ld av,madrid,malaga,44.91
2024-01,renfe-ave,comercial,ld av,madrid,sevilla,45.93
2024-01,renfe-ave,comercial,ld av,madrid,valencia/valencia,35.15
2024-01,renfe-avlo,comercial,ld av,madrid,alicante/alacant,20.24
2024-01,renfe-avlo,comercial,ld av,madrid,barcelona,34.94
2024-01,renfe-avlo,comercial,ld av,madrid,malaga,32.29
2024-01,renfe-avlo,comercial,ld av,madrid,sevilla,30.07
2024-01,renfe-avlo,comercial,ld av,madrid,valencia/valencia,18.47
2024-02,iryo,comercial,ld av,madrid,alicante/alacant,28.79
2024-02,iryo,comercial,ld av,madrid,barcelona,42.18
2024-02,iryo,comercial,ld av,madrid,malaga,37.94
2024-02,iryo,comercial,ld av,madrid,sevilla,43.36
2024-02,iryo,comercial,ld av,madrid,valencia/valencia,205.0
2024-02,ouigo,comercial,ld av,madrid,alicante/alacant,21.22
2024-02,ouigo,comercial,ld av,madrid,barcelona,34.08
2024-02,ouigo,comercial,ld av,madrid,valencia/valencia,18.54
2024-02,renfe-ave,comercial,ld av,madrid,alicante/alacant,41.23
2024-02,renfe-ave,comercial,ld av,madrid,barcelona,65.56
2024-02,renfe-ave,comercial,ld av,madrid,malaga,43.49
2024-02,renfe-ave,comercial,ld av,madrid,sevilla,51.24
2024-02,renfe-ave,comercial,ld av,madrid,valencia/valencia,33.27
2024-02,renfe-avlo,comercial,ld av,madrid,alicante/alacant,20.38
2024-02,renfe-avlo,comercial,ld av,madrid,barcelona,37.95
2024-02,renfe-avlo,comercial,ld av,madrid,malaga,36.37
2024-02,renfe-avlo,comercial,ld av,madrid,sevilla,36.94
2024-02,renfe-avlo,comercial,ld av,madrid,valencia/valencia,18.86
2024-03,iryo,comercial,ld av,madrid,alicante/alacant,33.03
2024-03,iryo,comercial,ld av,madrid,barcelona,48.97
2024-03,iryo,comercial,ld av,madrid,malaga,45.78
2024-03,iryo,comercial,ld av,madrid,sevilla,47.85
2024-03,iryo,comercial,ld av,madrid,valencia/valencia,27.82
2024-03,ouigo,comercial,ld av,madrid,alicante/alacant,26.96
2024-03,ouigo,comercial,ld av,madrid,barcelona,40.07
2024-03,ouigo,comercial,ld av,madrid,valencia/valencia,25.05
2024-03,renfe-ave,comercial,ld av,madrid,alicante/alacant,42.23
2024-03,renfe-ave,comercial,ld av,madrid,barcelona,67.17
2024-03,renfe-ave,comercial,ld av,madrid,malaga,53.41
2024-03,renfe-ave,comercial,ld av,madrid,sevilla,56.21
2024-03,renfe-ave,comercial,ld av,madrid,valencia/valencia,37.52
2024-03,renfe-avlo,comercial,ld av,madrid,alicante/alacant,25.22
2024-03,renfe-avlo,comercial,ld av,madrid,barcelona,44.71
2024-03,renfe-avlo,comercial,ld av,madrid,malaga,47.02
2024-03,renfe-avlo,comercial,ld av,madrid,sevilla,411.0
2024-03,renfe-avlo,comercial,ld av,madrid,valencia/valencia,240.0
2024-04,iryo,comercial,ld av,madrid,alicante/alacant,33.21
2024-04,iryo,comercial,ld av,madrid,barcelona,42.97
2024-04,iryo,comercial,ld av,madrid,malaga,404.0
2024-04,iryo,comercial,ld av,madrid,sevilla,46.65
2024-04,iryo,comercial,ld av,madrid,valencia/valencia,22.87
2024-04,ouigo,comercial,ld av,madrid,alicante/alacant,27.28
2024-04,ouigo,comercial,ld av,madrid,barcelona,36.98
2024-04,ouigo,comercial,ld av,madrid,valencia/valencia,221.0
2024-04,renfe-ave,comercial,ld av,madrid,alicante/alacant,44.12
2024-04,renfe-ave,comercial,ld av,madrid,barcelona,62.99
2024-04,renfe-ave,comercial,ld av,madrid,malaga,49.14
2024-04,renfe-ave,comercial,ld av,madrid,sevilla,58.35
2024-04,renfe-ave,comercial,ld av,madrid,valencia/valencia,36.06
2024-04,renfe-avlo,comercial,ld av,madrid,alicante/alacant,26.91
2024-04,renfe-avlo,comercial,ld av,madrid,barcelona,41.13
2024-04,renfe-avlo,comercial,ld av,madrid,malaga,42.84
2024-04,renfe-avlo,comercial,ld av,madrid,sevilla,41.38
2024-04,renfe-avlo,comercial,ld av,madrid,valencia/valencia,21.56
2024-05,iryo,comercial,ld av,madrid,alicante/alacant,35.68
2024-05,iryo,comercial,ld av,madrid,barcelona,45.56
2024-05,iryo,comercial,ld av,madrid,malaga,411.0
2024-05,iryo,comercial,ld av,madrid,sevilla,474.0
2024-05,iryo,comercial,ld av,madrid,valencia/valencia,24.45
2024-05,ouigo,comercial,ld av,madrid,alicante/alacant,30.76
2024-05,ouigo,comercial,ld av,madrid,barcelona,43.41
2024-05,ouigo,comercial,ld av,madrid,valencia/valencia,24.86
2024-05,renfe-ave,comercial,ld av,madrid,alicante/alacant,46.41
2024-05,renfe-ave,comercial,ld av,madrid,barcelona,65.68
2024-05,renfe-ave,comercial,ld av,madrid,malaga,51.33
2024-05,renfe-ave,comercial,ld av,madrid,sevilla,60.68
2024-05,renfe-ave,comercial,ld av,madrid,valencia/valencia,40.42
2024-05,renfe-avlo,comercial,ld av,madrid,alicante/alacant,28.53
2024-05,renfe-avlo,comercial,ld av,madrid,barcelona,46.32
2024-05,renfe-avlo,comercial,ld av,madrid,malaga,45.27
2024-05,renfe-avlo,comercial,ld av,madrid,sevilla,40.92
2024-05,renfe-avlo,comercial,ld av,madrid,valencia/valencia,22.33
2024-06,iryo,comercial,ld av,madrid,alicante/alacant,26.87
2024-06,iryo,comercial,ld av,madrid,barcelona,487.0
2024-06,iryo,comercial,ld av,madrid,malaga,43.08
2024-06,iryo,comercial,ld av,madrid,sevilla,46.61
2024-06,iryo,comercial,ld av,madrid,valencia/valencia,28.76
2024-06,ouigo,comercial,ld av,madrid,alicante/alacant,337.0
2024-06,ouigo,comercial,ld av,madrid,barcelona,46.23
2024-06,ouigo,comercial,ld av,madrid,valencia/valencia,28.11
2024-06,renfe-ave,comercial,ld av,madrid,alicante/alacant,488.0
2024-06,renfe-ave,comercial,ld av,madrid,barcelona,67.44
2024-06,renfe-ave,comercial,ld av,madrid,malaga,53.22
2024-06,renfe-ave,comercial,ld av,madrid,sevilla,55.31
2024-06,renfe-ave,comercial,ld av,madrid,valencia/valencia,44.19
2024-06,renfe-avlo,comercial,ld av,madrid,alicante/alacant,28.91
2024-06,renfe-avlo,comercial,ld av,madrid,barcelona,48.58
2024-06,renfe-avlo,comercial,ld av,madrid,malaga,43.02
2024-06,renfe-avlo,comercial,ld av,madrid,sevilla,40.79
2024-06,renfe-avlo,comercial,ld av,madrid,valencia/valencia,24.47
2024-07,iryo,comercial,ld av,madrid,alicante/alacant,29.18
2024-07,iryo,comercial,ld av,madrid,barcelona,44.19
2024-07,iryo,comercial,ld av,madrid,malaga,42.86
2024-07,iryo,comercial,ld av,madrid,sevilla,36.22
2024-07,iryo,comercial,ld av,madrid,valencia/valencia,28.06
2024-07,ouigo,comercial,ld av,madrid,alicante/alacant,36.72
2024-07,ouigo,comercial,ld av,madrid,barcelona,46.06
2024-07,ouigo,comercial,ld av,madrid,valencia/valencia,29.56
2024-07,renfe-ave,comercial,ld av,madrid,alicante/alacant,46.89
2024-07,renfe-ave,comercial,ld av,madrid,barcelona,64.96
2024-07,renfe-ave,comercial,ld av,madrid,malaga,52.48
2024-07,renfe-ave,comercial,ld av,madrid,sevilla,45.86
2024-07,renfe-ave,comercial,ld av,madrid,valencia/valencia,43.48
2024-07,renfe-avlo,comercial,ld av,madrid,alicante/alacant,29.43
2024-07,renfe-avlo,comercial,ld av,madrid,barcelona,48.08
2024-07,renfe-avlo,comercial,ld av,madrid,malaga,44.28
2024-07,renfe-avlo,comercial,ld av,madrid,sevilla,34.13
2024-07,renfe-avlo,comercial,ld av,madrid,valencia/valencia,27.67
2024-08,iryo,comercial,ld av,madrid,alicante/alacant,26.49
2024-08,iryo,comercial,ld av,madrid,barcelona,40.59
2024-08,iryo,comercial,ld av,madrid,malaga,43.78
